"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100676904","A systematic review of trustworthy artificial intelligence applications in natural disasters",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Artificial intelligence (AI) holds significant promise for advancing natural disaster management through the use of predictive models that analyze extensive datasets, identify patterns, and forecast potential disasters. These models facilitate proactive measures such as early warning systems (EWSs), evacuation planning, and resource allocation, addressing the substantial challenges associated with natural disasters. This study offers a comprehensive exploration of trustworthy AI applications in natural disasters, encompassing disaster management, risk assessment, and disaster prediction. This research is underpinned by an extensive review of reputable sources, including Science Direct (SD), Scopus, IEEE Xplore (IEEE), and Web of Science (WoS). Three queries were formulated to retrieve 981 papers from the earliest documented scientific production until February 2024. After meticulous screening, deduplication, and application of the inclusion and exclusion criteria, 108 studies were included in the quantitative synthesis. This study provides a specific taxonomy of AI applications in natural disasters and explores the motivations, challenges, recommendations, and limitations of recent advancements. It also offers an overview of recent techniques and developments in disaster management using explainable artificial intelligence (XAI), data fusion, data mining, machine learning (ML), deep learning (DL), fuzzy logic, and multicriteria decision-making (MCDM). This systematic contribution addresses seven open issues and provides critical solutions through essential insights, laying the groundwork for various future works in trustworthiness AI-based natural disaster management. Despite the potential benefits, challenges persist in the application of AI to natural disaster management. In these contexts, this study identifies several unused and used areas in natural disaster-based AI theory, collects the disaster datasets, ML, and DL techniques, and offers a valuable XAI approach to unravel the complex relationships and dynamics involved and the utilization of data fusion techniques in decision-making processes related to natural disasters. Finally, the study extensively analyzed ethical considerations, bias, and consequences in natural disaster-based AI.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: climate","https://doi.org/10.1016/j.compeleceng.2024.109409",NA,NA,NA
"rayyan-100676910","Machine learning for numerical weather and climate modelling: a review",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract. Machine learning (ML) is increasing in popularity in the field of weather and climate modelling. Applications range from improved solvers and preconditioners, to parameterization scheme emulation and replacement, and more recently even to full ML-based weather and climate prediction models. While ML has been used in this space for more than 25 years, it is only in the last 10 or so years that progress has accelerated to the point that ML applications are becoming competitive with numerical knowledge-based alternatives. In this review, we provide a roughly chronological summary of the application of ML to aspects of weather and climate modelling from early publications through to the latest progress at the time of writing. We also provide an overview of key ML terms, methodologies, and ethical considerations. Finally, we discuss some potentially beneficial future research directions. Our aim is to provide a primer for researchers and model developers to rapidly familiarize and update themselves with the world of ML in the context of weather and climate models.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: climate","https://doi.org/10.5194/gmd-16-6433-2023",NA,NA,NA
"rayyan-100676916","Cumulative absolute velocity prediction for earthquake early warning with deep learning",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: hazard,climate | USER-NOTES: {""Maria""=>[""A rapid and accurate estimate of earthquake damage is a key component in a successful earthquake early warning (EEW) system. The cumulative absolute velocity (CAV) is an important and widely used parameter to measure ground motion intensity, but it cannot be correctly estimated via the traditional approach with the limited information available in typical EEW systems. Therefore, current EEW systems cannot effectively use CAV to predict earthquake damage. Herein, a CAV prediction model (DLcav) based on convolutional neural networks was proposed for EEW systems. DLcav is an end-to-end solution to continuously predict CAV using arriving seismic waves of increasing length and supplemented with additional auxiliary information."", ""The effectiveness of DLcav to predict CAV was tested based on Japanese ground motion records, and the generalization ability of DLcav was assessed using the ground motion records from Chile. The results demonstrate that DLcav can rapidly predict CAV with good accuracy, which will help better estimate earthquake damage in EEW systems.""]}","https://doi.org/10.1111/mice.13065",NA,NA,NA
"rayyan-100676917","Harnessing AI and computing to advance climate modelling and prediction",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"There are contrasting views on how to produce the accurate predictions that are needed to guide climate change adaptation. Here, we argue for harnessing artificial intelligence, building on domain-specific knowledge and generating ensembles of moderately high-resolution (10–50 km) climate simulations as anchors for detailed hazard models.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: climate","https://doi.org/10.1038/s41558-023-01769-3",NA,NA,NA
"rayyan-100676920","Prediction of PGA in earthquake early warning using a long short-term memory neural network",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: hazard,climate | USER-NOTES: {""Maria""=>[""Peak ground acceleration (PGA) is a key parameter used in earthquake early warning systems to measure the ground motion strength and initiate emergency protocols at major projects. The traditional P-wave peak displacement-dependent PGA prediction model (Pd-PGA model) tends to underestimate the PGA for large earthquakes because it cannot make full use of the fault continuity rupture information hidden in the time-varying process of ground motion. In this paper, a continuous PGA prediction long short-term memory (LSTM) neural network model is proposed. The model takes eight sequential features of stations that are proxies of the energy and other physical parameters as input and provides the recorded PGA at the station as the target output. "", ""A total of 5961 records from 119 earthquakes recorded by the Japanese Strong-Motion Earthquake Network (K-NET) in Japan are used to train the neural network and 3433 records from 73 earthquakes are used as the test set to verify the model’s generalization ability. The results show that within the same data set, the residuals of the predicted PGA for the proposed model are smaller than those of the Pd-PGA model and that the problem of PGA underestimation is resolved. The prediction accuracy also improves with increasing sequence length, which indicates that the LSTM neural network learns the rules hidden in the time series. To further verify the model’s generalization ability, the model performance is analyzed for an M 7.3 earthquake that was not included in the training or test data sets. The results show that the residuals of the predicted PGA for the event are consistent with those for the test data set, indicating that the model has good generalization ability.""]}","https://doi.org/10.1093/gji/ggad067",NA,NA,NA
"rayyan-100676923","Making food systems more resilient to food safety risks by including artificial intelligence, big data, and internet of things into food safety early warning and emerging risk identification tools",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract To enhance the resilience of food systems to food safety risks, it is vitally important for national authorities and international organizations to be able to identify emerging food safety risks and to provide early warning signals in a timely manner. This review provides an overview of existing and experimental applications of artificial intelligence (AI), big data, and internet of things as part of early warning and emerging risk identification tools and methods in the food safety domain. There is an ongoing rapid development of systems fed by numerous, real‐time, and diverse data with the aim of early warning and identification of emerging food safety risks. The suitability of big data and AI to support such systems is illustrated by two cases in which climate change drives the emergence of risks, namely, harmful algal blooms affecting seafood and fungal growth and mycotoxin formation in crops. Automation and machine learning are crucial for the development of future real‐time food safety risk early warning systems. Although these developments increase the feasibility and effectiveness of prospective early warning and emerging risk identification tools, their implementation may prove challenging, particularly for low‐ and middle‐income countries due to low connectivity and data availability. It is advocated to overcome these challenges by improving the capability and capacity of national authorities, as well as by enhancing their collaboration with the private sector and international organizations.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: anthropocene","https://doi.org/10.1111/1541-4337.13296",NA,NA,NA
"rayyan-100676924","flood forecasting based on machine learning pattern recognition and dynamic migration of parameters",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Typical basin in semi-arid and semi humid areas in the middle reaches of the Yellow River Floods are among the most devastating natural disasters. Timely and accurate forecasting of runoff is crucial to safeguard human lives, minimize property damage, enhance the efficiency of reservoir power generation, and ensure the safety of water supply. In this study, the rainfall and flow data of 98 floods occurring between 1971 and 2014 in the Jingle sub-basin, a tributary of the Yellow River basin, China, were analyzed using dynamic clustering and random forest techniques to identify flood types and select appropriate model parameters. The Xin'anjiang model was then used for real-time flood forecasting. The results indicate that the rainfall characteristic indicators developed by the model can effectively identify potential flood types, and the model parameters determined by historical flood rates can be adapted and utilized for new forecasting tasks based on similarities. Ensemble forecasting results, which consider the probability of flood types, are superior to single fractal forecasting outcomes and diminish uncertainty. The proposed method can identify extreme flood events, facilitate flood classification and prediction, promote basin disaster mitigation, and enable the efficient use of water resources. The proposed flood classification and identification method effectively analyzes flood events in the basin. The floods that may occur are characterized by relevant statistical characteristics of rainfall, allowing for selection of corresponding flood forecasting model parameters for improved accuracy in real-time flood forecasting and extended prediction period.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: climate","https://doi.org/10.1016/j.ejrh.2023.101406",NA,NA,NA
"rayyan-100676931","Earthquake Early Warning Starting From 3 s of Records on a Single Station With Machine Learning",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract We introduce the Ensemble Earthquake Early Warning System (E3WS), a set of Machine Learning (ML) algorithms designed to detect, locate, and estimate the magnitude of an earthquake starting from 3 s of P ‐waves recorded by a single station. The system is made of six Ensemble ML algorithms trained on attributes computed from ground acceleration time series in the temporal, spectral, and cepstral domains. The training set comprises data sets from Peru, Chile, Japan, and the STEAD global data set. E3WS consists of three sequential stages: detection, P‐phase picking, and source characterization. The latter involves magnitude, epicentral distance, depth, and back azimuth estimation. E3WS achieves an overall success rate in the discrimination between earthquakes and noise of 99.9%, with no false positive (noise mis‐classified as earthquakes) and very few false negatives (earthquakes mis‐classified as noise). All false negatives correspond to M ≤ 4.3 earthquakes, which are unlikely to cause any damage. For P‐phase picking, the Mean Absolute Error is 0.14 s, small enough for earthquake early warning purposes. For source characterization, the E3WS estimates are virtually unbiased, have better accuracy for magnitude estimation than existing single‐station algorithms, and slightly better accuracy for earthquake location. By updating estimates every second, the approach gives time‐dependent magnitude estimates that follow the earthquake source time function. E3WS gives faster estimates than present alert systems relying on multiple stations, providing additional valuable seconds for potential protective actions.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: climate","https://doi.org/10.1029/2023jb026575",NA,NA,NA
"rayyan-100676933","Attention mechanism based neural networks for structural post-earthquake damage state prediction and rapid fragility analysis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: hazard,climate | USER-NOTES: {""Maria""=>[""This paper is devoted to the research on applying the deep learning method to nonlinear structural post-disaster damage state assessment. Transformer and Informer networks with a classification network customized according to the adopted damage assessment framework are proposed for data-driven structural seismic response and damage state modeling. Compared with recurrent neural network and convolution neural network, the networks in this paper can predict the elastoplastic response of nonlinear structures more effectively. In addition, this paper presents a method for rapid structural fragility analysis, which can consider multiple damage assessment indexes at the same time."", ""The performance of the proposed approach is successfully demonstrated through two examples, including a numerical analysis validation and a field sensing validation. The results show that the Transformer network used in this paper is a reliable and computationally efficient approach for predicting the structural seismic response and damage category, and appears great potential in structural health monitoring and rapid assessment on post-disaster structural resilience.""]}","https://doi.org/10.1016/j.compstruc.2023.107038",NA,NA,NA
"rayyan-100676939","Deep Learning Regional Climate Model Emulators: A Comparison of Two Downscaling Training Frameworks",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract Regional climate models (RCMs) have a high computational cost due to their higher spatial resolution compared to global climate models (GCMs). Therefore, various downscaling approaches have been developed as a surrogate for the dynamical downscaling of GCMs. This study assesses the potential of using a cost‐efficient machine learning alternative to dynamical downscaling by using the example case study of emulating surface mass balance (SMB) over the Antarctic Peninsula. More specifically, we determine the impact of the training framework by comparing two training scenarios: (a) a perfect and (b) an imperfect model framework. In the perfect model framework, the RCM‐emulator learns only the downscaling function; therefore, it was trained with upscaled RCM (UPRCM) features at GCM resolution. This emulator accurately reproduced SMB when evaluated on UPRCM, but its predictions on GCM data conserved RCM‐GCM inconsistencies and led to underestimation. In the imperfect model framework, the RCM‐emulator was trained with GCM features and downscaled the GCM while exposed to RCM‐GCM inconsistencies. This emulator predicted SMB close to the truth, showing it learned the underlying inconsistencies and dynamics. Our results suggest that a deep learning RCM‐emulator can learn the proper GCM to RCM downscaling function while working directly with GCM data. Furthermore, the RCM‐emulator presents a significant computational gain compared to an RCM simulation. We conclude that machine learning emulators can be applied to produce fast and fine‐scaled predictions of RCM simulations from GCM data.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: climate","https://doi.org/10.1029/2022ms003593",NA,NA,NA
