"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100676921","Using social media data and machine learning to map recreational ecosystem services",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Crowdsourced geotagged social media data and machine learning approaches have emerged as promising tools for mapping ecosystem services, especially cultural ecosystem services that are difficult to assess. Here, we use recreation to show how social media data, machine learning, and spatial analysis techniques can improve our understanding of human-nature interactions and the mapping of recreational ecosystem services. We extracted 80,500 photographs taken in non-urban areas of the Tahoe Central Sierra Initiative project area in California between 2005 and 2019 that were posted to the photo sharing application Flickr and used these as a proxy for recreational visits to the area. Automated image content analysis was used to identify the objects and concepts in the photographs and uncover the types of nature experiences that are important to visitors. Additionally, variable importance, a Random Forest machine learning technique, was used to examine the environmental and landscape variables that drive recreation in the area and to create a classification model that predicts the recreation potential of the entire area based on important variables. The automated image content analysis identified 1,239 unique labels linked to recreation, with mountains, hills, and rocks being the most prominent features (22%). Our Random Forest model indicates that vegetation cover, land cover, elevation, smoke days, and landscape features are major drivers of recreation in the area and are of interest to visitors in the area. The model predicted that 25.9% of the area has the potential to support recreational visits. Most of these recreation potential areas are in protected areas (77.8%), predominantly in conifer forests (66%) and within national forest boundaries, especially the Tahoe National Forest area (37.6%). These results show that recreational ecosystem services vary across landscapes and illustrate the need for improved mapping approaches to determine the provision of ecosystem services in different places. The analysis provides novel insights into the various ways social media data and machine learning techniques can be powerful components of ecosystem service research and how they hold great potential for monitoring and informing management interventions on ecosystem service provision, especially in places with limited traditional onsite visitation data.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.1016/j.ecolind.2023.110606",NA,NA,NA
"rayyan-100676922","Mapping Tropical Forest Cover and Deforestation with Planet NICFI Satellite Images and Deep Learning in Mato Grosso State (Brazil) from 2015 to 2021",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Monitoring changes in tree cover for assessment of deforestation is a premise for policies to reduce carbon emission in the tropics. Here, a U-net deep learning model was used to map monthly tropical tree cover in the Brazilian state of Mato Grosso between 2015 and 2021 using 5 m spatial resolution Planet NICFI satellite images. The accuracy of the tree cover model was extremely high, with an F1-score &gt;0.98, further confirmed by an independent LiDAR validation showing that 95% of tree cover pixels had a height &gt;5 m while 98% of non-tree cover pixels had a height &lt;5 m. The biannual map of deforestation was then built from the monthly tree cover map. The deforestation map showed relatively consistent agreement with the official deforestation map from Brazil (67.2%) but deviated significantly from Global Forest Change (GFC)’s year of forest loss, showing that our product is closest to the product made by visual interpretation. Finally, we estimated that 14.8% of Mato Grosso’s total area had undergone clear-cut logging between 2015 and 2021, and that deforestation was increasing, with December 2021, the last date, being the highest. High-resolution imagery from Planet NICFI in conjunction with deep learning techniques can significantly improve the mapping of deforestation extent in tropical regions.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.3390/rs15020521",NA,NA,NA
"rayyan-100676935","Spatio-temporal modeling of parcel-level land-use changes using machine learning methods",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Spatio-temporal modeling of parcel-level land development dynamics is essential to maintain sustainable urban growth. Modeling parcel-level urban development controlling contemporaneous and historical conditions involve computational challenges since data sizes grow quickly beyond the capabilities of conventional statistical-based spatial models. Machine Learning (ML) methods provide computationally feasible methods for large-scale data sets. This paper introduces new ML applications using advanced algorithms and GPU parallel processing to model large-scale urban land developments. Special attention is given to accelerating the construction of spatial weight matrices and training ML models. Specifically, artificial neural networks and random forests are applied to the state of Florida’s land-use data, which contains nearly 9 million parcels, to predict parcels with changes in their land use based on historical and neighborhood data. The adaptive Hashing algorithm coupled with GPU parallel processing accelerates the average processing time for identifying the fixed number of nearest neighbors used for accounting spatial autocorrelation, by almost 16,000 times. Also, ML model training times are shortened by 49–547 times using GPU. Further, our best ML model achieves approximately 92% accuracy while outperforming some competing methods, including logistic regression. Such a high prediction accuracy helps policymakers adjust budget allocations to meet local land-use change projections.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.1016/j.scs.2023.104390",NA,NA,NA
"rayyan-100676943","Deforestation detection using a spatio-temporal deep learning approach with synthetic aperture radar and multispectral images",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth | USER-NOTES: {""Maria""=>[""Deforestation is a global change driver that contributes to atmospheric carbon emissions, causes biodiversity loss and ecosystem services degradation. Usually, this process has been quantified and monitored using remote sensing. The development of deep learning algorithms, as well as satellite images with a higher spatial and temporal resolution has improved the capabilities to monitor deforestation. The objective of this study was to evaluate the potential of a spatio-temporal deep learning algorithm, the U-Net 3D, with multispectral and synthetic aperture radar images to detect deforestation in a tropical rainforest in Southeast Mexico between 2019 and 2020. The U-Net 3D inputs were 147 squared areas with 256 pixels by side that contained, at least, one deforested area. "", ""These inputs consisted of: (1) four cloudless composites (Feb–Apr 2019, May–Sep 2019, Oct 2019–Jan 2020 and Feb–Apr 2020) with six bands each (four Sentinel-2 bands and two Sentinel-1), and (2) deforested area polygons delineated by visual interpretation. This classification had three classes: no deforestation, old-growth forest loss and secondary forest / plantation loss. The classification map obtained an overall accuracy of 0.97 and an average F1-score of 0.94. The corrected area estimates were 3 195.26 ± 1 132.88 ha (0.48 ± 0.17 %) for the old-growth forest loss and 4 234.85 ± 1 912.01 ha (0.64 ± 0.29 %) for the secondary forest / plantation loss. Most of the classification errors were found in borders between classes, caused by the confusion of secondary forest / plantation loss with herbaceous cover loss or associated with artifacts in the images.""]}","https://doi.org/10.1016/j.isprsjprs.2023.03.017",NA,NA,NA
"rayyan-100677008","Rapid monitoring of tea plants under cold stress based on UAV multi-sensor data",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"In the context of climate change, extreme weather events, represented by frost injury, are increasingly having a negative impact on the growth of tea plants. This has brought huge losses to the tea industry. Traditionally, the freezing injury of tea plants in the field was assessed by vision. This is labor-intensive and subjective. In this research, multimodal remote sensing data from different periods of natural overwintering tea plantations were collected by using unmanned aerial vehicles (UAV) equipped with multispectral (MS), thermal infrared (TIR) and RGB sensors. And the physiological data of tea leaves on the same day were obtained to construct a tea cold injury score (TCIS). Then, a convolutional neural networks-gate recurrent unit (CNN-GRU) model was improved for estimating TCIS. To better compare the performance of CNN-GRU, a single GRU model and three classical machine learning models were also used for comparison. The study found that: (1) The multimodal data fusion was superior to the unimodal data. The best prediction results were achieved for the combined bimodal MS + RGB data (Rp2 = 0.862, RMSEP = 0.138, RPD = 2.220); (2) The CNN-GRU hybrid model was superior to the other four baseline models. The best effect was achieved based on the multivariate input of MS + RGB (Rp2 = 0.862) or MS + RGB + TIR (Rp2 = 0.850); (3) The accuracy of the model after removing soil features was lower than that of the model without background removal. Therefore, the TCIS-CNN-GRU model combined with multi-source remote sensing data can objectively and accurately evaluate the cold injury phenotype of tea plants, making the CNN-GRU model more scientific and promising.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.1016/j.compag.2023.108176",NA,NA,NA
"rayyan-100677015","TransU-Net++: Rethinking attention gated TransU-Net for deforestation mapping",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Deforestation has become a major cause of climate change, and as a result, both characterizing the drivers and estimating segmentation maps of deforestation have piqued the interest of researchers. In the computer vision domain, Vision Transformers (ViTs) have shown their superiority compared to extensively utilized convolutional neural networks (CNNs) over the last couple of years. Although, ViTs has several challenges, specifically in remote sensing image processing, including their significant complexity that increases the computation costs and their need for much higher reference data than that of CNNs. As such, in this paper, we introduce an attention gates aided TransU-Net, called TransU-Net++ for semantic segmentation with an application of deforestation mapping in two South American forest biomes, i.e., the Atlantic Forest and the Amazon Rainforest. The heterogeneous kernel convolution (HetConv), U-Net, attention gates, and ViTs are all utilized in the proposed TransU-Net++ to their advantage. The TransU-Net++ significantly increased the performance of TransU-Net's over the Atlantic Forest dataset by about 4%, 6%, and 16%, respectively, in terms of overall accuracy, F1-score, and recall, respectively.Moreover, the results show that the developed TrasnU-Net++ model (0.921) achieves the highest Area under the ROC Curve value in the 3-band Amazon forest dataset as compared to other segmentation models, including ICNet (0.667), ENet (0.69), SegNet (0.788), U-Net (0.871), Attention U-Net-2 (0.886), R2U-Net (0.888), TransU-Net (0.889), Swin U-Net (0.893), ResU-Net (0.896), U-Net+++ (0.9), and Attention U-Net (0.908), respectively. The code will be made publicly available at https://github.com/aj1365/TransUNetplus2.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.1016/j.jag.2023.103332",NA,NA,NA
"rayyan-100677019","Optimising carbon fixation through agroforestry: Estimation of aboveground biomass using multi-sensor data synergy and machine learning",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth | USER-NOTES: {""Maria""=>[""As agricultural land expansion is the primary driver of deforestation, agroforestry could be an optimal land use strategy for climate change mitigation and reducing pressure on forests. Agroforestry is a promising method for carbon sequestration. With recent advancements in geospatial and data science technology, the ability to predict aboveground biomass (AGB) and assess ecosystem services in agroforestry is rapidly expanding. This study was conducted in the Belpada Block of Balangir, Odisha, a forest-dominated region of eastern India. We recorded species occurrence and measured plant parameters, including Circumference at Breast Height (CBH), height, and geolocation, in 196 plots (0.09 ha) in agroforestry intervention sites and noted the tree species. This study used Sentinel-1 and Sentinel-2 multi sensor data to achieve data synergy in AGB estimation. Three machine learning models were used: Random Forest (RF), Support Vector Machine (SVM), and Artificial Neural Network (ANN). "", ""The RF model exhibited the highest level of prediction accuracy (R2 = 0.69 and RMSE = 17.07 Mg/ha), followed by the ANN model (R2 = 0.63 and RMSE = 19.35 Mg/ha), SVM model (R2 = 0.54, RMSE = 21.97 Mg/ha. The spectral vegetation indices that are (Normalized Difference Vegetation Index (NDVI), Soil-Adjusted Vegetation Index (SAVI), Enhanced Vegetation Index (EVI), Modified Simple Ratio (MSR), Modified Soil-Adjusted Vegetation Index (MSAVI), Difference Vegetation Index (DVI), and SAR backscatter values, were found important variables for AGB prediction. The findings revealed that agroforestry interventions and plantations resulted in an average carbon stock increase of 15 Mg/ha over five years in the study area."", ""The Plant Value Index (PVI), which indicates the importance of species in the local economy and biomass carbon storage, showed that Tectona grandis was the dominant species with the highest PVI value (88.35), followed by Eucalyptus globulus (56.87), Mangifera indica (53.75), and Azadirachta indica (15.45). This approach enables the expansion of monitoring efforts to assess carbon stock in agroforestry systems, thereby promoting effective management strategies.""]}","https://doi.org/10.1016/j.ecoinf.2023.102408",NA,NA,NA
"rayyan-100677020","Deep point cloud regression for above-ground forest biomass estimation from airborne LiDAR",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Quantifying forest biomass stocks and their dynamics is important for implementing effective climate change mitigation measures by aiding local forest management, studying processes driving af-, re-, and deforestation, and improving the accuracy of carbon accounting. Owing to the 3-dimensional nature of forest structure, remote sensing using airborne LiDAR can be used to perform these measurements of vegetation structure at large scale. Harnessing the full dimensionality of the data, we present deep learning systems predicting wood volume and above ground biomass (AGB) directly from the full LiDAR point cloud and compare results to state-of-the-art approaches operating on basic statistics of the point clouds. For this purpose, we devise different neural network architectures for point cloud regression and evaluate them on remote sensing data of areas for which AGB estimates have been obtained from field measurements in the Danish national forest inventory. Our adaptation of Minkowski convolutional neural networks for regression give the best results. The deep neural networks produce significantly more accurate wood volume, AGB, and carbon stock estimates compared to state-of-the-art approaches. In contrast to other methods, the proposed deep learning approach does not require a digital terrain model and is robust to artifacts along the boundaries of the evaluated areas, which we demonstrate for the case where trees protrude into the area from the outside. We expect this finding to have a strong impact on LiDAR-based analyses of biomass dynamics.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.1016/j.rse.2023.113968",NA,NA,NA
"rayyan-100677034","A Survey of Object Detection for UAVs Based on Deep Learning",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"With the rapid development of object detection technology for unmanned aerial vehicles (UAVs), it is convenient to collect data from UAV aerial photographs. They have a wide range of applications in several fields, such as monitoring, geological exploration, precision agriculture, and disaster early warning. In recent years, many methods based on artificial intelligence have been proposed for UAV object detection, and deep learning is a key area in this field. Significant progress has been achieved in the area of deep-learning-based UAV object detection. Thus, this paper presents a review of recent research on deep-learning-based UAV object detection. This survey provides an overview of the development of UAVs and summarizes the deep-learning-based methods in object detection for UAVs. In addition, the key issues in UAV object detection are analyzed, such as small object detection, object detection under complex backgrounds, object rotation, scale change, and category imbalance problems. Then, some representative solutions based on deep learning for these issues are summarized. Finally, future research directions in the field of UAV object detection are discussed.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.3390/rs16010149",NA,NA,NA
"rayyan-100677039","Long-Term Wetland Monitoring Using the Landsat Archive: A Review",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Wetlands, which provide multiple functions and ecosystem services, have decreased and been degraded worldwide for several decades due to human activities and climate change. Managers and scientists need tools to characterize and monitor wetland areas, structure, and functions in the long term and at regional and global scales and assess the effects of planning policies on their conservation status. The Landsat earth observation program has collected satellite images since 1972, which makes it the longest global earth observation record with respect to remote sensing. In this review, we describe how Landsat data have been used for long-term (≥20 years) wetland monitoring. A total of 351 articles were analyzed based on 5 topics and 22 attributes that address long-term wetland monitoring and Landsat data analysis issues. Results showed that (1) the open access Landsat archive successfully highlights changes in wetland areas, structure, and functions worldwide; (2) recent progress in artificial intelligence (AI) and machine learning opens new prospects for analyzing the Landsat archive; (3) most unexplored wetlands can be investigated using the Landsat archive; (4) new cloud-computing tools enable dense Landsat times-series to be processed over large areas. We recommend that future studies focus on changes in wetland functions using AI methods along with cloud computing. This review did not include reports and articles that do not mention the use of Landsat imagery.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: earth","https://doi.org/10.3390/rs15030820",NA,NA,NA
