"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100677002","Advances in Earth observation and machine learning for quantifying blue carbon",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Blue carbon ecosystems (mangroves, seagrasses and saltmarshes) are highly productive coastal habitats, and are considered some of the most carbon-dense ecosystems on the earth. They are an important nature-based solution for both climate change mitigation and adaptation. Quantifying blue carbon stocks and assessing their dynamics at large scales through remote sensing remains challenging due to difficulties of cloud coverage, spectral, spatial and temporal limitations of multispectral sensors and speckle noise of synthetic aperture radar (SAR). Recent advances in airborne and space-borne multispectral and SAR imagery and Light Detection and Ranging (LiDAR) data, sensor platforms such as unmanned aerial vehicles (UAVs), combined with novel machine learning techniques have offered different users with a wide-range of spectral, spatial, and multi-temporal information for quantifying blue carbon from space. However, a large number of challenges are posed by various traits such as atmospheric correction, water penetration, and water column transparency issues in coastal environments, the multi-dimensionality and size of the multispectral and LiDAR data, the limitation of training samples, and backscattering mechanisms of SAR imagery in the acquisition process. As a result, existing methodologies face major difficulties in accurately estimating blue carbon stocks using these datasets. In this context, emerging and innovative machine learning and artificial intelligence methodologies are often required for robustness and reliability of blue carbon estimates, particularly those using open-source software for signal processing and regression tasks. This review provides an overview of Earth Observation data, machine learning and state-of-the-art deep learning techniques that are currently being used to quantify above-ground carbon, below-ground carbon, and soil carbon stocks of mangroves, seagrasses and saltmarshes ecosystems. Some key limitations and future directions for the potential use of data fusion combined with advanced machine learning, deep learning, and metaheuristic optimisation techniques for quantifying blue carbon stocks are also highlighted. In summary, the quantification of blue carbon using remote sensing and machine learning approaches holds great potential in contributing to global efforts towards mitigating climate change and protecting coastal ecosystems.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1016/j.earscirev.2023.104501",NA,NA,NA
"rayyan-100677006","Deep Learning of Systematic Sea Ice Model Errors From Data Assimilation Increments",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract Data assimilation is often viewed as a framework for correcting short‐term error growth in dynamical climate model forecasts. When viewed on the time scales of climate however, these short‐term corrections, or analysis increments, can closely mirror the systematic bias patterns of the dynamical model. In this study, we use convolutional neural networks (CNNs) to learn a mapping from model state variables to analysis increments, in order to showcase the feasibility of a data‐driven model parameterization which can predict state‐dependent model errors. We undertake this problem using an ice‐ocean data assimilation system within the Seamless system for Prediction and EArth system Research (SPEAR) model, developed at the Geophysical Fluid Dynamics Laboratory, which assimilates satellite observations of sea ice concentration every 5 days between 1982 and 2017. The CNN then takes inputs of data assimilation forecast states and tendencies, and makes predictions of the corresponding sea ice concentration increments. Specifically, the inputs are states and tendencies of sea ice concentration, sea‐surface temperature, ice velocities, ice thickness, net shortwave radiation, ice‐surface skin temperature, sea‐surface salinity, as well as a land‐sea mask. We find the CNN is able to make skillful predictions of the increments in both the Arctic and Antarctic and across all seasons, with skill that consistently exceeds that of a climatological increment prediction. This suggests that the CNN could be used to reduce sea ice biases in free‐running SPEAR simulations, either as a sea ice parameterization or an online bias correction tool for numerical sea ice forecasts.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1029/2023ms003757",NA,NA,NA
"rayyan-100677104","Large-scale detection of marine debris in coastal areas with Sentinel-2",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Detecting and quantifying marine pollution and macroplastics is an increasingly pressing ecological issue that directly impacts ecology and human health. Here, remote sensing can provide reliable estimates of plastic pollution by regularly monitoring and detecting marine debris in coastal areas. In this work, we present a detector for marine debris built on a deep segmentation model that outputs a probability for marine debris at the pixel level. We train this detector with a combination of annotated datasets of marine debris and evaluate it on specifically selected test sites where it is highly probable that plastic pollution is present in the detected marine debris. We integrate data-centric artificial intelligence principles by devising a training strategy with extensive sampling of negative examples and an automated label refinement of coarse hand labels. This yields a deep learning model that achieves higher accuracies on benchmark comparisons than existing detection models trained on previous datasets.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1016/j.isci.2023.108402",NA,NA,NA
"rayyan-100677111","Use of Machine Learning and Remote Sensing Techniques for Shoreline Monitoring: A Review of Recent Literature",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Climate change and its effects (i.e., sea level rise, extreme weather events) as well as anthropogenic activities, determine pressures to the coastal environments and contribute to shoreline retreat and coastal erosion phenomena. Coastal zones are dynamic and complex environments consisting of heterogeneous and different geomorphological features, while exhibiting different scales and spectral responses. Thus, the monitoring of changes in the coastal land classes and the extraction of coastlines/shorelines can be a challenging task. Earth Observation data and the application of spatiotemporal analysis methods can facilitate shoreline change analysis and detection. Apart from remote sensing methods, the advent of machine learning-based techniques presents an emerging trend, being capable of supporting the monitoring and modeling of coastal ecosystems at large scales. In this context, this study aims to provide a review of the relevant literature falling within the period of 2015–2022, where different machine learning approaches were applied for cases of coast-line/shoreline extraction and change analysis, and/or coastal dynamic monitoring. Particular emphasis is given on the analysis of the selected studies, including details about their performances, as well as their advantages and weaknesses, and information about the different environmental data employed.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.3390/app13053268",NA,NA,NA
"rayyan-100677115","Explainable deep learning for insights in El Niño and river flows",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"The El Niño Southern Oscillation (ENSO) is a semi-periodic fluctuation in sea surface temperature (SST) over the tropical central and eastern Pacific Ocean that influences interannual variability in regional hydrology across the world through long-range dependence or teleconnections. Recent research has demonstrated the value of Deep Learning (DL) methods for improving ENSO prediction as well as Complex Networks (CN) for understanding teleconnections. However, gaps in predictive understanding of ENSO-driven river flows include the black box nature of DL, the use of simple ENSO indices to describe a complex phenomenon and translating DL-based ENSO predictions to river flow predictions. Here we show that eXplainable DL (XDL) methods, based on saliency maps, can extract interpretable predictive information contained in global SST and discover SST information regions and dependence structures relevant for river flows which, in tandem with climate network constructions, enable improved predictive understanding. Our results reveal additional information content in global SST beyond ENSO indices, develop understanding of how SSTs influence river flows, and generate improved river flow prediction, including uncertainty estimation. Observations, reanalysis data, and earth system model simulations are used to demonstrate the value of the XDL-CN based methods for future interannual and decadal scale climate projections.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1038/s41467-023-35968-5",NA,NA,NA
"rayyan-100677121","Use of industry 4.0 technologies to reduce and valorize seafood waste and by-products: A narrative review on current knowledge",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Fish and other seafood products represent a valuable source of many nutrients and micronutrients for the human diet and contribute significantly to global food security. However, considerable amounts of seafood waste and by-products are generated along the seafood value and supply chain, from the sea to the consumer table, causing severe environmental damage and significant economic loss. Therefore, innovative solutions and alternative approaches are urgently needed to ensure a better management of seafood discards and mitigate their economic and environmental burdens. The use of emerging technologies, including the fourth industrial revolution (Industry 4.0) innovations (such as Artificial Intelligence, Big Data, smart sensors, and the Internet of Things, and other advanced technologies) to reduce and valorize seafood waste and by-products could be a promising strategy to enhance blue economy and food sustainability around the globe. This narrative review focuses on the issues and risks associated with the underutilization of waste and by-products resulting from fisheries and other seafood industries. Particularly, recent technological advances and digital tools being harnessed for the prevention and valorization of these natural invaluable resources are highlighted.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1016/j.crfs.2023.100505",NA,NA,NA
"rayyan-100677206","Current status and prospects of algal bloom early warning technologies: A Review",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean | USER-NOTES: {""Maria""=>[""In recent years, frequent occurrences of algal blooms due to environmental changes have posed significant threats to the environment and human health. This paper analyzes the reasons of algal bloom from the perspective of environmental factors such as nutrients, temperature, light, hydrodynamics factors and others. Various commonly used algal bloom monitoring methods are discussed, including traditional field monitoring methods, remote sensing techniques, molecular biology-based monitoring techniques, and sensor-based real-time monitoring techniques. The advantages and limitations of each method are summarized. "", ""Existing algal bloom prediction models, including traditional models and machine learning (ML) models, are introduced. Support Vector Machine (SVM), deep learning (DL), and other ML models are discussed in detail, along with their strengths and weaknesses. Finally, this paper provides an outlook on the future development of algal bloom warning techniques, proposing to combine various monitoring methods and prediction models to establish a multi-level and multi-perspective algal bloom monitoring system, further improving the accuracy and timeliness of early warning, and providing more effective safeguards for environmental protection and human health.""]}","https://doi.org/10.1016/j.jenvman.2023.119510",NA,NA,NA
"rayyan-100677235","A low-cost edge AI-chip-based system for real-time algae species classification and HAB prediction",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean | USER-NOTES: {""Maria""=>[""Harmful Algal Blooms (HAB) are damaging to ecosystem functions and pose challenges to environmental and fisheries management. The key to HAB management and understanding the complex algal growth dynamics is the development of robust systems for real-time monitoring of algae populations and species. Previous algae classification studies mainly rely on the combination of an in-situ imaging flow cytometer and an off-site lab-based algae classification model such as Random Forest (RF) for the analysis of high-throughput images. An on-site AI algae monitoring system on top of an edge AI chip embedded with the proposed Algal Morphology Deep Neural Network (AMDNN) model is developed to achieve real-time algae species classification and HAB prediction. "", ""Based on a detailed examination of real-world algae images, dataset augmentation is first performed: consisting of orientation, flipping, blurring, and Resizing with Aspect ratio Preserved (RAP). The dataset augmentation is shown to significantly improve classification performance which is superior to that of the competitive RF model. And the attention heatmaps show that for relatively regular-shaped algal species (e.g., Vicicitus), the model weights the color and texture information heavily; while the shape-related features are more important for complex-shaped algae (e.g., Chaetoceros). "", ""The AMDNN is tested on a dataset of 11,250 algae images containing the 25 most common HAB classes in Hong Kong subtropical waters with 99.87% test accuracy. Based on the fast and accurate algae classification, the AI-chip-based on-site system is applied to a one-month dataset in February 2020; the predicted trends of total cell counts and targeted HAB species counts are in good agreement with observations. The proposed edge AI algae monitoring system provides a platform for the development of practical HAB early warning systems that can effectively support environmental risk and fisheries management.""]}","https://doi.org/10.1016/j.watres.2023.119727",NA,NA,NA
"rayyan-100677245","Improving accuracy and efficiency in seagrass detection using state-of-the-art AI techniques",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Seagrasses provide a wide range of ecosystem services in coastal marine environments. Despite their ecological and economic importance, these species are declining because of human impact. This decline has driven the need for monitoring and mapping to estimate the overall health and dynamics of seagrasses in coastal environments, often based on underwater images. However, seagrass detection from underwater digital images is not a trivial task; it requires taxonomic expertise and is time-consuming and expensive. Recently automatic approaches based on deep learning have revolutionised object detection performance in many computer vision applications, and there has been interest in applying this to automated seagrass detection from imagery. Deep learning–based techniques reduce the need for hardcore feature extraction by domain experts which is required in machine learning-based techniques. This study presents a YOLOv5-based one-stage detector and an EfficientDetD7–based two-stage detector for detecting seagrass, in this case, Halophila ovalis, one of the most widely distributed seagrass species. The EfficientDet-D7–based seagrass detector achieves the highest mAP of 0.484 on the ECUHO-2 dataset and mAP of 0.354 on the ECUHO-1 dataset, which are about 7% and 5% better than the state-of-the-art Halophila ovalis detection performance on those datasets, respectively. The proposed YOLOv5-based detector achieves an average inference time of 0.077 s and 0.043 s respectively which are much lower than the state-of-the-art approach on the same datasets.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1016/j.ecoinf.2023.102047",NA,NA,NA
"rayyan-100677254","Using Machine Learning at scale in numerical simulations with SmartSim: An application to ocean climate modeling",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"We demonstrate the first climate-scale, numerical ocean simulations improved through distributed, online inference of Deep Neural Networks (DNN) using SmartSim. SmartSim is a library dedicated to enabling online analysis and Machine Learning (ML) for high performance, numerical simulations. In this paper, we detail the SmartSim architecture and provide benchmarks including online inference with a shared ML model, EKE-ResNet, on heterogeneous HPC systems. We demonstrate the capability of SmartSim by using it to run a 12-member ensemble of global-scale, high-resolution ocean simulations, each spanning 19 compute nodes, all communicating with the same ML architecture at each simulation timestep. In total, 970 billion inferences are collectively served by running the ensemble for a total of 120 simulated years. The inferences are used to predict the oceanic eddy kinetic energy (EKE), which is a variable that is used to tune different turbulence closures in the model and thus directly affects the simulation. The root-mean-square of the error in EKE (as compared to an eddy-resolving simulation) is 20% lower when using the ML-prediction than the previous state of the art. This demonstration is an example of how machine learning methods can be integrated into traditional numerical simulations, replace prognostic equations, and preserve overall simulation stability without significantly affecting the time to solution.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: ocean","https://doi.org/10.1016/j.jocs.2022.101707",NA,NA,NA
