"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100676908","Review of smart water management: IoT and AI in water and wastewater treatment",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Integrating the Internet of Things (IoT) and Artificial Intelligence (AI) in smart water management revolutionizes sustainable water resource utilization. This comprehensive review explores these technologies' benefits, challenges, regulatory implications, and future trends. Smart water management enhances operational efficiency, predictive maintenance, and resource conservation while addressing data security and infrastructure investment challenges. Regulatory frameworks play a pivotal role in shaping the responsible deployment of AI and IoT, ensuring data privacy and ethical use. Future trends include advanced sensors, decentralized systems, quantum computing, and blockchain for enhanced water data security. The alignment with Sustainable Development Goals (SDGs) underscores the transformative potential of smart water management in achieving universal access to clean water, climate resilience, and inclusive, sustainable development. As we embrace these technologies, collaboration, public awareness, and ethical considerations will guide the evolution of intelligent and equitable water management systems.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.30574/wjarr.2024.21.1.0171",NA,NA,NA
"rayyan-100676930","Machine learning-based water quality prediction using octennial in-situ Daphnia magna biological early warning system data",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water | USER-NOTES: {""Maria""=>[""Biological early warning system (BEWS) has been globally used for surface water quality monitoring. Despite its extensive use, BEWS has exhibited limitations, including difficulties in biological interpretation and low alarm reproducibility. This study addressed these issues by applying machine learning (ML) models to eight years of in-situ BEWS data for Daphnia magna. Six ML models were adopted to predict contamination alarms from Daphnia behavioral parameters. The light gradient boosting machine model demonstrated the most significant improvement in predicting alarms from Daphnia behaviors. Compared with the traditional BEWS alarm index, the ML model enhanced the precision and recall by 29.50% and 43.41%, respectively. The speed distribution index and swimming speed were significant parameters for predicting water quality warnings. "", "" The nonlinear relationships between the monitored Daphnia behaviors and water physicochemical water quality parameters (i.e., flow rate, Chlorophyll-a concentration, water temperature, and conductivity) were identified by ML models for simulating Daphnia behavior based on the water contaminants. These findings suggest that ML models have the potential to establish a robust framework for advancing the predictive capabilities of BEWS, providing a promising avenue for real-time and accurate assessment of water quality. Thereby, it can contribute to more proactive and effective water quality management strategies.""]}","https://doi.org/10.1016/j.jhazmat.2023.133196",NA,NA,NA
"rayyan-100676940","River ecological flow early warning forecasting using baseflow separation and machine learning in the Jiaojiang River Basin, Southeast China",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water | USER-NOTES: {""Maria""=>[""Ecological flow early warning is crucial for the rational management of watershed water resources. However, determining of accurate ecological flow threshold and choosing the appropriate forecasting model are challenging tasks. In this study, we initially developed a baseflow separation and Tennant method-based technique for calculating ecological river flow. Then an ecological flow early warning model was created using the machine learning technique based on distributed gradient enhancement framework (LightGBM). Finally, we utilized the framework of Shapley Additive Planning (SHAP) to explain how various hydrometeorological factors affect the variations in ecological flow conditions. The Jiaojiang River basin in southeast China is selected as the study area, and the hydrological stations in upstream of Baizhiao (BZA) and Shaduan (SD) are chosen for key analysis."", ""The results of these applications show that the monthly baseflow frequency of the river ecological flow conditions of the two stations in the dry season is 20 % (7.49 m3/s) and 30 % (4.79 m3/s), respectively. The ecological flow level early warning forecasting accuracy is close to 90 % in the BZA and SD stations during dry and wet seasons. The variations of ecological flow are most affected by evaporation and base flow index. The results of this study can serve as a strong basis for the effective allocation and utilization of locally available water resources.""]}","https://doi.org/10.1016/j.scitotenv.2023.163571",NA,NA,NA
"rayyan-100676960","Potential of Artificial Intelligence-Based Techniques for Rainfall Forecasting in Thailand: A Comprehensive Review",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Rainfall forecasting is one of the most challenging factors of weather forecasting all over the planet. Due to climate change, Thailand has experienced extreme weather events, including prolonged lacks of and heavy rainfall. Accurate rainfall forecasting is crucial for Thailand’s agricultural sector. Agriculture depends on rainfall water, which is important for water resources, adversity management, and overall socio-economic development. Artificial intelligence techniques (AITs) have shown remarkable precision in rainfall forecasting in the past two decades. AITs may accurately forecast rainfall by identifying hidden patterns from past weather data features. This research investigates and reviews the most recent AITs focused on advanced machine learning (ML), artificial neural networks (ANNs), and deep learning (DL) utilized for rainfall forecasting. For this investigation, academic articles from credible online search libraries published between 2000 and 2022 are analyzed. The authors focus on Thailand and the worldwide applications of AITs for rainfall forecasting and determine the best methods for Thailand. This will assist academics in analyzing the most recent work on rainfall forecasting, with a particular emphasis on AITs, but it will also serve as a benchmark for future comparisons. The investigation concludes that hybrid models combining ANNs with wavelet transformation and bootstrapping can improve the current accuracy of rainfall forecasting in Thailand.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.3390/w15162979",NA,NA,NA
"rayyan-100676962","An Overview of Smart Irrigation Management for Improving Water Productivity under Climate Change in Drylands",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Global drylands, covering about 41% of Earth’s surface and inhabited by 38% of the world’s population, are facing the stark challenges of water scarcity, low water productivity, and food insecurity. This paper highlights the major constraints to agricultural productivity, traditional irrigation scheduling methods, and associated challenges, efforts, and progress to enhance water use efficiency (WUE), conserve water, and guarantee food security by overviewing different smart irrigation approaches. Widely used traditional irrigation scheduling methods (based on weather, plant, and soil moisture conditions) usually lack important information needed for precise irrigation, which leads to over- or under-irrigation of fields. On the other hand, by using several factors, including soil and climate variation, soil properties, plant responses to water deficits, and changes in weather factors, smart irrigation can drive better irrigation decisions that can help save water and increase yields. Various smart irrigation approaches, such as artificial intelligence and deep learning (artificial neural network, fuzzy logic, expert system, hybrid intelligent system, and deep learning), model predictive irrigation systems, variable rate irrigation (VRI) technology, and unmanned aerial vehicles (UAVs) could ensure high water use efficiency in water-scarce regions. These smart irrigation technologies can improve water management and accelerate the progress in achieving multiple Sustainable Development Goals (SDGs), where no one gets left behind.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.3390/agronomy13082113",NA,NA,NA
"rayyan-100676963","Artificial intelligence models to evaluate the impact of climate change on groundwater resources",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"This study develops three different artificial intelligence (AI) models in order to investigate the effects of climate change on groundwater resources using historical records of precipitation, temperature and groundwater levels together with regional climate projections. In particular, the Non-linear Autoregressive Neural Network (NARX), the Long-Short Term Memory Neural Network (LSTM) and the Convolutional Neural Network (CNN) were compared. Considering an aquifer located in northern Italy as a case study, the neural networks were trained to replicate observed groundwater levels by taking as input precipitation and temperature records, and in the case of the NARX also antecedent groundwater levels, on a monthly scale. The trained networks were used to infer groundwater levels until the end of the century based on precipitation and temperature projections provided by an ensemble of 13 Regional Climate Models (RCMs) from the EURO-CORDEX initiative. Two emission pathways were considered: the RCP4.5 and RCP8.5. All the AI models show good performance metrics during the training phase, but NARXs perform poorly compared to the other models during validation and testing. For the future, the NARX and LSTM models predict a decline in groundwater levels, especially for the RCP8.5 scenario, while slight changes are expected using the CNN. As NARXs are not deep learning techniques and CNNs may not be able to extrapolate values outside the training range, LSTMs appear to be better suited for climate change impact evaluations.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.1016/j.jhydrol.2023.130359",NA,NA,NA
"rayyan-100676968","A REVIEW OF SMART WATER MANAGEMENT SYSTEMS FROM AFRICA AND THE UNITED STATES",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"This review paper comprehensively examines smart water management systems, focusing on their development, implementation, and impacts within Africa and the United States. It delves into the theoretical frameworks that underlie these systems, including integrating cyber-physical systems, sustainable development principles, and systems theory in water management. The paper further explores the technological innovations driving smart water management, such as the Internet of Things (IoT), Artificial Intelligence (AI), and remote sensing. It discusses the policy and regulatory frameworks that support or hinder these advancements in different regions. Additionally, it assesses the environmental, social, and economic impacts of smart water management, highlighting the benefits of water conservation, improved access to clean water, and efficiency gains. The challenges facing the implementation of smart water management systems are critically analyzed, including technical, financial, and regulatory obstacles. Future directions for smart water management are also discussed, emphasizing the potential for scalability, adaptation, and the importance of cross-sectoral and international collaboration. The paper concludes by underscoring the necessity of integrating technology, policy, and community engagement in smart water management efforts and calls for further research and collaboration to harness the full potential of these systems in addressing global water challenges.&#x0D; Keywords: Smart Water Management, Internet of Things (IoT), Artificial Intelligence (AI), Sustainable Development, Policy Frameworks, Water Conservation.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.51594/estj.v5i4.1014",NA,NA,NA
"rayyan-100676980","Review of machine learning-based surrogate models of groundwater contaminant modeling",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water | USER-NOTES: {""Maria""=>[""Heavy computational load inhibits the application of groundwater contaminant numerical model to groundwater pollution source identification, remediation design, and uncertainty analysis, since a large number of model runs are required for these applications. Machine learning-based surrogate models are an effective approach to enhance the efficiency of the numerical models, and have recently attracted considerable attention in the field of groundwater contaminant modeling. Here, we review 120 research articles on machine learning-based surrogate models for groundwater contaminant modeling that were published between 1994 and 2022. We outline the state of the art method, identify the most significant research challenges, and suggest potential future directions. "", ""The six major applications of machine learning-based surrogate models are groundwater pollution source identification, groundwater remediation design, coastal aquifer management, uncertainty analysis of groundwater, groundwater monitoring network design, and groundwater transport parameters inversion. Together, these account for more than 90% of the studies we review. Latin hypercube sampling (LHS) is the most widely used sampling method, and artificial neural networks (ANNs) and Kriging are the two most widely used methods for constructing surrogate model. "", ""No method is universally superior, the advantages and disadvantages of different methods, as well as the applicability of these methods for different application purposes of groundwater contaminant modeling were analyzed. Some recommendations on the method selection for various application fields are given based on the reviews and experiences. Based on our review of the state-of-the-art, we suggest several future research directions to enhance the feasibility of the machine learning-based surrogate models of groundwater contaminant modeling: the alleviation of the curse of dimensionality, enhancing transferability, practical applications for real case studies, multi-source dada fusion, and real-time monitoring and prediction.""]}","https://doi.org/10.1016/j.envres.2023.117268",NA,NA,NA
"rayyan-100676999","Time-series modelling of harmful cyanobacteria blooms by convolutional neural networks and wavelet generated time-frequency images of environmental driving variables",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Early warning systems for harmful cyanobacterial blooms (HCBs) that enable precautional control measures within water bodies and in water works are largely based on inferential time-series modelling. Among deep learning techniques, convolutional neural networks (CNNs) are widely applied for recognition of pictorial, acoustic and thermal images. Time-frequency images of environmental drivers generated by wavelets may provide crucial signals for modelling of HCBs to be recognized by CNNs. This study applies CNNs for time-series modelling of HCBs of Microcystis sp. in four South Korean rivers between 2016 and 2022 by means of time-frequency images of environmental drivers within the lead time of HCBs. After estimating the cardinal dates of beginning, peak, and ending of HCBs, wavelet analysis identified key drivers by phase analysis and generated time-frequency images of the drivers within the cardinal dates for 3, 4 and 5 years. Performances of CNNs were compared in terms of four determinants of input images: methods of estimating critical timings, the number of segments, time-series continuity, and image size. The resulting CNNs predicted high or low intensities of HCBs with a mean accuracy of 97.79 ± 0.06% and F1-score 97.49 ± 0.06% for training dataset, and a mean accuracy of 95.01 ± 0.06% and F1-score 93.30 ± 0.07% for testing dataset. Predictions of Microcystis abundances by CNNs achieved a mean MSE of 2.58 ± 2.46 and a mean R2 of 0.78 ± 0.20 for training, and a mean MSE of 2.76 ± 2.42 and a mean R2 of 0.55 ± 0.20 for testing dataset. Precipitation and discharge appeared to be the best performing drivers for qualitative and quantitative predictions of HCBs pointing at the nonstationary nature of river habitats. This study highlights the opportunities of time-series modelling by CNNs driven by wavelet generated time-frequency images of key environmental variables for forecasting of HCBs.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.1016/j.watres.2023.120662",NA,NA,NA
"rayyan-100677022","Prediction of Groundwater Quality Index Using Classification Techniques in Arid Environments",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Assessing water quality is crucial for improving global water resource management, particularly in arid regions. This study aims to assess and monitor the status of groundwater quality based on hydrochemical parameters and by using artificial intelligence (AI) approaches. The irrigation water quality index (IWQI) is predicted by using support vector machine (SVM) and k-nearest neighbors (KNN) classifiers in Matlab’s classification learner toolbox. The classifiers are fed with the following hydrochemical input parameters: sodium adsorption ratio (SAR), electrical conductivity (EC), bicarbonate level (HCO3), chloride concentration (Cl), and sodium concentration (Na). The proposed methods were used to assess the quality of groundwater extracted from the desertic region of Adrar in Algeria. The collected groundwater samples showed that 9.64% of samples were of very good quality, 12.05% were of good quality, 21.08% were satisfactory, and 57.23% were considered unsuitable for irrigation. The IWQI prediction accuracies of the classifiers with the standardized, normalized, and raw data were 100%, 100%, and 90%, respectively. The cubic SVM with the normalized data develops the highest prediction accuracy for training and testing samples (94.2% and 100%, respectively). The findings of this work showed that the multiple regression model and machine learning could effectively assess water quality in desert zones for sustainable water management.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: water","https://doi.org/10.3390/su15129687",NA,NA,NA
