"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100676913","Soundscapes and deep learning enable tracking biodiversity recovery in tropical forests",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Tropical forest recovery is fundamental to addressing the intertwined climate and biodiversity loss crises. While regenerating trees sequester carbon relatively quickly, the pace of biodiversity recovery remains contentious. Here, we use bioacoustics and metabarcoding to measure forest recovery post-agriculture in a global biodiversity hotspot in Ecuador. We show that the community composition, and not species richness, of vocalizing vertebrates identified by experts reflects the restoration gradient. Two automated measures - an acoustic index model and a bird community composition derived from an independently developed Convolutional Neural Network - correlated well with restoration (adj-R² = 0.62 and 0.69, respectively). Importantly, both measures reflected composition of non-vocalizing nocturnal insects identified via metabarcoding. We show that such automated monitoring tools, based on new technologies, can effectively monitor the success of forest recovery, using robust and reproducible data.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.1038/s41467-023-41693-w",NA,NA,NA
"rayyan-100676919","Can large language models democratize access to dual-use biotechnology?",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Large language models (LLMs) such as those embedded in 'chatbots' are accelerating and democratizing research by providing comprehensible information and expertise from many different fields. However, these models may also confer easy access to dual-use technologies capable of inflicting great harm. To evaluate this risk, the 'Safeguarding the Future' course at MIT tasked non-scientist students with investigating whether LLM chatbots could be prompted to assist non-experts in causing a pandemic. In one hour, the chatbots suggested four potential pandemic pathogens, explained how they can be generated from synthetic DNA using reverse genetics, supplied the names of DNA synthesis companies unlikely to screen orders, identified detailed protocols and how to troubleshoot them, and recommended that anyone lacking the skills to perform reverse genetics engage a core facility or contract research organization. Collectively, these results suggest that LLMs will make pandemic-class agents widely accessible as soon as they are credibly identified, even to people with little or no laboratory training. Promising nonproliferation measures include pre-release evaluations of LLMs by third parties, curating training datasets to remove harmful concepts, and verifiably screening all DNA generated by synthesis providers or used by contract research organizations and robotic cloud laboratories to engineer organisms or viruses.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.48550/arxiv.2306.03809",NA,NA,NA
"rayyan-100676977","Animal Species Recognition with Deep Convolutional Neural Networks from Ecological Camera Trap Images",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Accurate identification of animal species is necessary to understand biodiversity richness, monitor endangered species, and study the impact of climate change on species distribution within a specific region. Camera traps represent a passive monitoring technique that generates millions of ecological images. The vast numbers of images drive automated ecological analysis as essential, given that manual assessment of large datasets is laborious, time-consuming, and expensive. Deep learning networks have been advanced in the last few years to solve object and species identification tasks in the computer vision domain, providing state-of-the-art results. In our work, we trained and tested machine learning models to classify three animal groups (snakes, lizards, and toads) from camera trap images. We experimented with two pretrained models, VGG16 and ResNet50, and a self-trained convolutional neural network (CNN-1) with varying CNN layers and augmentation parameters. For multiclassification, CNN-1 achieved 72% accuracy, whereas VGG16 reached 87%, and ResNet50 attained 86% accuracy. These results demonstrate that the transfer learning approach outperforms the self-trained model performance. The models showed promising results in identifying species, especially those with challenging body sizes and vegetation.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.3390/ani13091526",NA,NA,NA
"rayyan-100676989","<i>TreeSatAI Benchmark Archive</i>: a multi-sensor, multi-label dataset for tree species classification in remote sensing",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract. Airborne and spaceborne platforms are the primary data sources for large-scale forest mapping, but visual interpretation for individual species determination is labor-intensive. Hence, various studies focusing on forests have investigated the benefits of multiple sensors for automated tree species classification. However, transferable deep learning approaches for large-scale applications are still lacking. This gap motivated us to create a novel dataset for tree species classification in central Europe based on multi-sensor data from aerial, Sentinel-1 and Sentinel-2 imagery. In this paper, we introduce the TreeSatAI Benchmark Archive, which contains labels of 20 European tree species (i.e., 15 tree genera) derived from forest administration data of the federal state of Lower Saxony, Germany. We propose models and guidelines for the application of the latest machine learning techniques for the task of tree species classification with multi-label data. Finally, we provide various benchmark experiments showcasing the information which can be derived from the different sensors including artificial neural networks and tree-based machine learning methods. We found that residual neural networks (ResNet) perform sufficiently well with weighted precision scores up to 79 % only by using the RGB bands of aerial imagery. This result indicates that the spatial content present within the 0.2 m resolution data is very informative for tree species classification. With the incorporation of Sentinel-1 and Sentinel-2 imagery, performance improved marginally. However, the sole use of Sentinel-2 still allows for weighted precision scores of up to 74 % using either multi-layer perceptron (MLP) or Light Gradient Boosting Machine (LightGBM) models. Since the dataset is derived from real-world reference data, it contains high class imbalances. We found that this dataset attribute negatively affects the models' performances for many of the underrepresented classes (i.e., scarce tree species). However, the class-wise precision of the best-performing late fusion model still reached values ranging from 54 % (Acer) to 88 % (Pinus). Based on our results, we conclude that deep learning techniques using aerial imagery could considerably support forestry administration in the provision of large-scale tree species maps at a very high resolution to plan for challenges driven by global environmental change. The original dataset used in this paper is shared via Zenodo (https://doi.org/10.5281/zenodo.6598390, Schulz et al., 2022). For citation of the dataset, we refer to this article.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.5194/essd-15-681-2023",NA,NA,NA
"rayyan-100677003","From spectra to plant functional traits: Transferable multi-trait models from heterogeneous and sparse data",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Large-scale information on several vegetation properties ('plant traits') is critical to assess ecosystem functioning, functional diversity and their role in the Earth system. Hyperspectral remote sensing of plant canopies offers a key tool to map multiple plant traits. However, we are still lacking generalized methods to translate hyperspectral reflectance into a suite of relevant plant traits across biomes, land cover and sensor types. The absence of globally representative data sets and the gap between the available reflectance data with corresponding in-situ measurements have hampered such approaches. In recent years, the scientific community acquired multiple data sets encompassing canopy hyperspectral reflectance and plant traits from different plant types and sensors. To combine these heterogeneous data sets, we propose three multi-trait modeling approaches based on Convolutional Neural Networks (CNNs) to simultaneously infer a broad set of 20 structural and chemical traits (e.g. leaf mass per area, leaf area index, pigments, nitrogen). The performance of these multi-trait CNN models predicting these traits was compared against single-trait CNN as well as single-trait partial least squares regression (PLSR). We found that the multi-trait CNNs performances significantly increased from single-trait CNNs (nRMSE = 0.027–19.61%) and the state-of-the-art PLSR models (nRMSE = 1.94–40.07%) across a broad range of vegetation types (crops, forest, tundra, grassland, shrubland) and sensor types. Thus, providing a single model for multiple traits not only proved to be computationally more efficient, but also more accurate, since it enabled the model to incorporate traits' co-variation. Despite the data heterogeneity of the merged data set, our models performances' were comparable or exceeded those of previous studies. Overall, this study highlights the potential of weakly supervised approaches to overcome the scarcity of in-situ measurements and take a step forward in creating efficient predictive models of multiple biochemical and biophysical vegetation properties.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.1016/j.rse.2023.113580",NA,NA,NA
"rayyan-100677004","Machine Learning and Deep Learning in Synthetic Biology: Key Architectures, Applications, and Challenges",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Machine learning (ML), particularly deep learning (DL), has made rapid and substantial progress in synthetic biology in recent years. Biotechnological applications of biosystems, including pathways, enzymes, and whole cells, are being probed frequently with time. The intricacy and interconnectedness of biosystems make it challenging to design them with the desired properties. ML and DL have a synergy with synthetic biology. Synthetic biology can be employed to produce large data sets for training models (for instance, by utilizing DNA synthesis), and ML/DL models can be employed to inform design (for example, by generating new parts or advising unrivaled experiments to perform). This potential has recently been brought to light by research at the intersection of engineering biology and ML/DL through achievements like the design of novel biological components, best experimental design, automated analysis of microscopy data, protein structure prediction, and biomolecular implementations of ANNs (Artificial Neural Networks). I have divided this review into three sections. In the first section, I describe predictive potential and basics of ML along with myriad applications in synthetic biology, especially in engineering cells, activity of proteins, and metabolic pathways. In the second section, I describe fundamental DL architectures and their applications in synthetic biology. Finally, I describe different challenges causing hurdles in the progress of ML/DL and synthetic biology along with their solutions.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.1021/acsomega.3c05913",NA,NA,NA
"rayyan-100677005","Applications of machine learning to identify and characterize the sounds produced by fish",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract Aquatic ecosystems are constantly changing due to anthropic stressors, which can lead to biodiversity loss. Ocean sound is considered an essential ocean variable, with the potential to improve our understanding of its impact on marine life. Fish produce a variety of sounds and their choruses often dominate underwater soundscapes. These sounds have been used to assess communication, behaviour, spawning location, and biodiversity. Artificial intelligence can provide a robust solution to detect and classify fish sounds. However, the main challenge in applying artificial intelligence to recognize fish sounds is the lack of validated sound data for individual species. This review provides an overview of recent publications on the use of machine learning, including deep learning, for fish sound detection, classification, and identification. Key challenges and limitations are discussed, and some points to guide future studies are also provided.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.1093/icesjms/fsad126",NA,NA,NA
"rayyan-100677040","An Integrated Multi-Omics and Artificial Intelligence Framework for Advance Plant Phenotyping in Horticulture",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"This review discusses the transformative potential of integrating multi-omics data and artificial intelligence (AI) in advancing horticultural research, specifically plant phenotyping. The traditional methods of plant phenotyping, while valuable, are limited in their ability to capture the complexity of plant biology. The advent of (meta-)genomics, (meta-)transcriptomics, proteomics, and metabolomics has provided an opportunity for a more comprehensive analysis. AI and machine learning (ML) techniques can effectively handle the complexity and volume of multi-omics data, providing meaningful interpretations and predictions. Reflecting the multidisciplinary nature of this area of research, in this review, readers will find a collection of state-of-the-art solutions that are key to the integration of multi-omics data and AI for phenotyping experiments in horticulture, including experimental design considerations with several technical and non-technical challenges, which are discussed along with potential solutions. The future prospects of this integration include precision horticulture, predictive breeding, improved disease and stress response management, sustainable crop management, and exploration of plant biodiversity. The integration of multi-omics and AI holds immense promise for revolutionizing horticultural research and applications, heralding a new era in plant phenotyping.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.3390/biology12101298",NA,NA,NA
"rayyan-100677044","Enabling technology and core theory of synthetic biology",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Synthetic biology provides a new paradigm for life science research (“build to learn”) and opens the future journey of biotechnology (“build to use”). Here, we discuss advances of various principles and technologies in the mainstream of the enabling technology of synthetic biology, including synthesis and assembly of a genome, DNA storage, gene editing, molecular evolution and de novo design of function proteins, cell and gene circuit engineering, cell-free synthetic biology, artificial intelligence (AI)-aided synthetic biology, as well as biofoundries. We also introduce the concept of quantitative synthetic biology, which is guiding synthetic biology towards increased accuracy and predictability or the real rational design. We conclude that synthetic biology will establish its disciplinary system with the iterative development of enabling technologies and the maturity of the core theory.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.1007/s11427-022-2214-2",NA,NA,NA
"rayyan-100677049","AI for life: Trends in artificial intelligence for biotechnology",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Due to popular successes (e.g., ChatGPT) Artificial Intelligence (AI) is on everyone's lips today. When advances in biotechnology are combined with advances in AI unprecedented new potential solutions become available. This can help with many global problems and contribute to important Sustainability Development Goals. Current examples include Food Security, Health and Well-being, Clean Water, Clean Energy, Responsible Consumption and Production, Climate Action, Life below Water, or protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss. AI is ubiquitous in the life sciences today. Topics include a wide range from machine learning and Big Data analytics, knowledge discovery and data mining, biomedical ontologies, knowledge-based reasoning, natural language processing, decision support and reasoning under uncertainty, temporal and spatial representation and inference, and methodological aspects of explainable AI (XAI) with applications of biotechnology. In this pre-Editorial paper, we provide an overview of open research issues and challenges for each of the topics addressed in this special issue. Potential authors can directly use this as a guideline for developing their paper.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: biodiversity","https://doi.org/10.1016/j.nbt.2023.02.001",NA,NA,NA
