"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100676899","Review of artificial intelligence and internet of things technologies in land and water management research during 1991–2021: A bibliometric analysis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy,management | USER-NOTES: {""Maria""=>[""The challenges of urbanization, land degradation, water scarcity, and climate change are threatening agricultural systems and food security. Therefore, it is essential to manage land and water resources sustainably to improve productivity and address these challenges. Digital agriculture, which involves the use of smart systems and advanced farming practices incorporating Artificial Intelligence (AI) and Internet of Things (IoT) technologies, can provide solutions for sustainable agriculture and climate change adaptation. This study aims to fill the research gap by understanding the recent pulse and current trends of significant works published on AI and IoT-assisted land and water management (LWM) research. A bibliometric analysis of 436 English language articles published over the last three decades (1991–2021) was conducted. "", ""The study revealed a significant shift in research trends in 2010, with over 60 AI techniques utilized under different AI and IoT frameworks for LWM. The highly adopted AI techniques include Artificial Neural Networks (ANN—9.85%), Adaptive Neuro-Fuzzy Inference System (ANFIS —5.98%), Support Vector Regression (SVR—3.87%), Random Forest (RF—3.16%),​ and Multilayer Perceptron-ANN (MLP-ANN—2.81%). China, India, Iran, Australia, and the USA were identified as pioneers in the field, while Italy, Spain, and Saudi Arabia showed potential as emerging countries but with low collaboration links. The study also discussed the current limitations and challenges of AI and IoT technologies. Future research focus areas for AI and IoT were identified, and it was recommended to conduct comparative evaluations of AI techniques to determine the most effective approach for specific LWM domains.""]}","https://doi.org/10.1016/j.engappai.2023.106335",NA,NA,NA
"rayyan-100677028","Smart Farming Monitoring Using ML and MLOps",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy,management | USER-NOTES: {""Maria""=>[""Smart farming includes various operations like crop yield prediction, soil fertility analysis, crop recommendation, water management, and many activities. Researchers are continuously developing many machine learning models to implement smart farming activities. This paper reviewed various machine learning activities for smart farming. Once a machine learning model is designed and deployed in production systems, the next challenging task is continuously monitoring the model. A monitoring model is required to ensure that models still deliver correct values even underlying conditions changes. This paper reviewed machine learning operations (MLOps) process feasibility for smart farming to provide correct smart farming recommendations when any environmental factors or soil properties change by continuously monitoring the smart farming process by MLOps.""]}","https://doi.org/10.1007/978-981-99-3315-0_51",NA,NA,NA
"rayyan-100677038","Three Challenges for AI-Assisted Decision-Making",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Artificial intelligence (AI) has the potential to improve human decision-making by providing decision recommendations and problem-relevant information to assist human decision-makers. However, the full realization of the potential of human–AI collaboration continues to face several challenges. First, the conditions that support complementarity (i.e., situations in which the performance of a human with AI assistance exceeds the performance of an unassisted human or the AI in isolation) must be understood. This task requires humans to be able to recognize situations in which the AI should be leveraged and to develop new AI systems that can learn to complement the human decision-maker. Second, human mental models of the AI, which contain both expectations of the AI and reliance strategies, must be accurately assessed. Third, the effects of different design choices for human-AI interaction must be understood, including both the timing of AI assistance and the amount of model information that should be presented to the human decision-maker to avoid cognitive overload and ineffective reliance strategies. In response to each of these three challenges, we present an interdisciplinary perspective based on recent empirical and theoretical findings and discuss new research directions.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy","https://doi.org/10.1177/17456916231181102",NA,NA,NA
"rayyan-100677073","Does Explainable Artificial Intelligence Improve Human Decision-Making?",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Explainable AI provides insights to users into the why for model predictions, offering potential for users to better understand and trust a model, and to recognize and correct AI predictions that are incorrect. Prior research on human and explainable AI interactions has focused on measures such as interpretability, trust, and usability of the explanation. There are mixed findings whether explainable AI can improve actual human decision-making and the ability to identify the problems with the underlying model. Using real datasets, we compare objective human decision accuracy without AI (control), with an AI prediction (no explanation), and AI prediction with explanation. We find providing any kind of AI prediction tends to improve user decision accuracy, but no conclusive evidence that explainable AI has a meaningful impact. Moreover, we observed the strongest predictor for human decision accuracy was AI accuracy and that users were somewhat able to detect when the AI was correct vs. incorrect, but this was not significantly affected by including an explanation. Our results indicate that, at least in some situations, the why information provided in explainable AI may not enhance user decision-making, and further research may be needed to understand how to integrate explainable AI into real systems.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy","https://doi.org/10.1609/aaai.v35i8.16819",NA,NA,NA
"rayyan-100677098","Community perspectives on AI/ML and health equity: AIM-AHEAD nationwide stakeholder listening sessions",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Artificial intelligence and machine learning (AI/ML) tools have the potential to improve health equity. However, many historically underrepresented communities have not been engaged in AI/ML training, research, and infrastructure development. Therefore, AIM-AHEAD (Artificial Intelligence/Machine Learning Consortium to Advance Health Equity and Researcher Diversity) seeks to increase participation and engagement of researchers and communities through mutually beneficial partnerships. The purpose of this paper is to summarize feedback from listening sessions conducted by the AIM-AHEAD Coordinating Center in February 2022, titled the ""AIM-AHEAD Community Building Convention (ACBC)."" A total of six listening sessions were held over three days. A total of 977 people registered with AIM-AHEAD to attend ACBC and 557 individuals attended the listening sessions across stakeholder groups. Facilitators led the conversation based on a series of guiding questions, and responses were captured through voice and chat via the Slido platform. A professional third-party provider transcribed the audio. Qualitative analysis included data from transcripts and chat logs. Thematic analysis was then used to identify common and unique themes across all transcripts. Six main themes arose from the sessions. Attendees felt that storytelling would be a powerful tool in communicating the impact of AI/ML in promoting health equity, trust building is vital and can be fostered through existing trusted relationships, and diverse communities should be involved every step of the way. Attendees shared a wealth of information that will guide AIM-AHEAD's future activities. The sessions highlighted the need for researchers to translate AI/ML concepts into vignettes that are digestible to the larger public, the importance of diversity, and how open-science platforms can be used to encourage multi-disciplinary collaboration. While the sessions confirmed some of the existing barriers in applying AI/ML for health equity, they also offered new insights that were captured in the six themes.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy","https://doi.org/10.1371/journal.pdig.0000288",NA,NA,NA
"rayyan-100677112","Artificial intelligence and the imperative of responsibility",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy | USER-NOTES: {""Maria""=>[""The accelerating development of artificial intelligence (AI) systems has generated acute and interlinked challenges for social trust, responsibility ascription, and governance. While today’s AI tools lack the type of agency that can bear responsibility, they are deployed in ways that create novel configurations and social appearances of agential power. That is, they allow new things to be done by us, for us, and to us, in ways that do not easily fit our existing practices for governing moral and legal responsibility. This is commonly referred to as the problem of AI ‘responsibility gaps’. We confront this challenge by framing normative responsibility in a new way: not as a fact about agents to be discovered, nor a set of criteria that responsible agents must satisfy, but as a relational practice of social care in the exercise of power, that responds to others’ vulnerability to our power. "", ""Drawing from examples in steamboat engineering, consumer finance, and environmental governance, we highlight how responsibility gaps have historically generated the moral and political imperative to construct new forms of responsible agency to balance novel agential powers, of which AI is merely the latest iteration.""]}","https://doi.org/10.4324/9781003282242-43",NA,NA,NA
"rayyan-100677116","Reclaiming the Digital Commons: A Public Data Trust for Training Data",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Democratization of AI means not only that people can freely use AI, but also that people can collectively decide how AI is to be used. In particular, collective decision-making power is required to redress the negative externalities from the development of increasingly advanced AI systems, including degradation of the digital commons and unemployment from automation. The rapid pace of AI development and deployment currently leaves little room for this power. Monopolized in the hands of private corporations, the development of the most capable foundation models has proceeded largely without public input. There is currently no implemented mechanism for ensuring that the economic value generated by such models is redistributed to account for their negative externalities. The citizens that have generated the data necessary to train models do not have input on how their data are to be used. In this work, we propose that a public data trust assert control over training data for foundation models. In particular, this trust should scrape the internet as a digital commons, to license to commercial model developers for a percentage cut of revenues from deployment. First, we argue in detail for the existence of such a trust. We also discuss feasibility and potential risks. Second, we detail a number of ways for a data trust to incentivize model developers to use training data only from the trust. We propose a mix of verification mechanisms, potential regulatory action, and positive incentives. We conclude by highlighting other potential benefits of our proposed data trust and connecting our work to ongoing efforts in data and compute governance.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy","https://doi.org/10.1145/3600211.3604658",NA,NA,NA
"rayyan-100677136","The Digital Agricultural Knowledge and Information System (DAKIS): Employing digitalisation to encourage diversified and multifunctional agricultural systems",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Multifunctional and diversified agriculture can address diverging pressures and demands by simultaneously enhancing productivity, biodiversity, and the provision of ecosystem services. The use of digital technologies can support this by designing and managing resource-efficient and context-specific agricultural systems. We present the Digital Agricultural Knowledge and Information System (DAKIS) to demonstrate an approach that employs digital technologies to enable decision-making towards diversified and sustainable agriculture. To develop the DAKIS, we specified, together with stakeholders, requirements for a knowledge-based decision-support tool and reviewed the literature to identify limitations in the current generation of tools. The results of the review point towards recurring challenges regarding the consideration of ecosystem services and biodiversity, the capacity to foster communication and cooperation between farmers and other actors, and the ability to link multiple spatiotemporal scales and sustainability levels. To overcome these challenges, the DAKIS provides a digital platform to support farmers' decision-making on land use and management via an integrative spatiotemporally explicit approach that analyses a wide range of data from various sources. The approach integrates remote and in situ sensors, artificial intelligence, modelling, stakeholder-stated demand for biodiversity and ecosystem services, and participatory sustainability impact assessment to address the diverse drivers affecting agricultural land use and management design, including natural and agronomic factors, economic and policy considerations, and socio-cultural preferences and settings. Ultimately, the DAKIS embeds the consideration of ecosystem services, biodiversity, and sustainability into farmers' decision-making and enables learning and progress towards site-adapted small-scale multifunctional and diversified agriculture while simultaneously supporting farmers' objectives and societal demands.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy","https://doi.org/10.1016/j.ese.2023.100274",NA,NA,NA
"rayyan-100677138","Evaluating the Impact of Human Explanation Strategies on Human-AI Visual Decision-Making",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Artificial intelligence (AI) is increasingly being deployed in high-stakes domains, such as disaster relief and radiology, to aid practitioners during the decision-making process. Explainable AI techniques have been developed and deployed to provide users insights into why the AI made certain predictions. However, recent research suggests that these techniques may confuse or mislead users. We conducted a series of two studies to uncover strategies that humans use to explain decisions and then understand how those explanation strategies impact visual decision-making. In our first study, we elicit explanations from humans when assessing and localizing damaged buildings after natural disasters from satellite imagery and identify four core explanation strategies that humans employed. We then follow up by studying the impact of these explanation strategies by framing the explanations from Study 1 as if they were generated by AI and showing them to a different set of decision-makers performing the same task. We provide initial insights on how causal explanation strategies improve humans' accuracy and calibrate humans' reliance on AI when the AI is incorrect. However, we also find that causal explanation strategies may lead to incorrect rationalizations when AI presents a correct assessment with incorrect localization. We explore the implications of our findings for the design of human-centered explainable AI and address directions for future work.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy","https://doi.org/10.1145/3579481",NA,NA,NA
"rayyan-100677213","Harnessing Artificial Intelligence",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: policy,management | USER-NOTES: {""Maria""=>[""Title: Harnessing Artificial Intelligence: Pioneering Sustainable Solutions for a Greener Future"", ""Science increasingly acknowledges technology's environmental impact. Artificial intelligence has the greatest transformational potential. This study uses AI to provide sustainable, eco-friendly solutions. The report covers climate change, pollution, and resource depletion worldwide. These difficulties inspire change, and the chapter suggests using AI to invent solutions. Numerous case studies demonstrate how AI may help environmental sustainability. Waste management, energy efficiency, biodiversity management, and natural catastrophe prediction are examples. "", ""Each case study explores AI principles, problems, and sustainability. In the next section, the chapter discusses AI's ethical and practical implications. These concerns include data privacy, AI inclusion, and automation-related job loss. It provides well-defined legal frameworks and AI integration with other tech and societal solutions. The chapter finishes with AI's future in sustainable development. Governments, AI developers, and the public must collaborate to achieve AI's potential.""]}","https://doi.org/10.4018/979-8-3693-2881-1.ch003",NA,NA,NA
