"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"rayyan-100676955","Predicting Regional Wastewater Treatment Plant Discharges Using Machine Learning and Population Migration Big Data",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban | USER-NOTES: {""Maria""=>[""Quantifying the temporal variation of wastewater treatment plant (WWTP) discharges is essential for water pollution control and environment protection in metropolitan areas. This study develops an ensemble machine learning (ML) model to predict discharges from WWTPs and to quantify the contribution of extraneous water (mixed precipitation and infiltrated groundwater) by leveraging the power of ML and population migration big data. The approach is applied to predict the discharges at 265 WWTPs in the Guangdong–Hong Kong–Macao Greater Bay Area (GBA) in China. "", ""The major conclusions are as follows. First, the ensemble ML model provides an efficient and reliable way to predict WWTP discharges using data easily accessible to the public. The predicted treated sewage amount increased from 20.4 × 106 m3/day in 2015 to 24.5 × 106 m3/day in 2020. Second, the predictors, including daily precipitation, average precipitation of past proceeding days, daily temperature, and population migration, play different roles in predicting different city’s discharges. Finally, mixed precipitation and infiltrated groundwater account for, on average, 1.6 and 10.3% of total discharges from WWTPs in the GBA. This study represents the first attempt to bring population migration big data into data-driven environmental engineering modeling and can be easily extended to predict other environmental variables of concern.""]}","https://doi.org/10.1021/acsestwater.2c00639",NA,NA,NA
"rayyan-100676976","Urban Flooding Prediction Method Based on the Combination of LSTM Neural Network and Numerical Model",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"At present, urban flood risk analysis and forecasting and early warning mainly use numerical models for simulation and analysis, which are more accurate and can reflect urban flood risk well. However, the calculation speed of numerical models is slow and it is difficult to meet the needs of daily flood control and emergency. How to use artificial intelligence technology to quickly predict urban flooding is a key concern and a problem that needs to be solved. Therefore, this paper combines a numerical model with good computational accuracy and an LSTM artificial neural network model with high computational efficiency to propose a new method for fast prediction of urban flooding risk. The method uses the simulation results of the numerical model of urban flooding as the data driver to construct the LSTM neural network prediction model of each waterlogging point. The results show that the method has a high prediction accuracy and fast calculation speed, which can meet the needs of daily flood control and emergency response, and provides a new idea for the application of artificial intelligence technology in the direction of flood prevention and mitigation.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban","https://doi.org/10.3390/ijerph20021043",NA,NA,NA
"rayyan-100676994","Deep Machine Learning-Based Water Level Prediction Model for Colombo Flood Detention Area",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Machine learning has already been proven as a powerful state-of-the-art technique for many non-linear applications, including environmental changes and climate predictions. Wetlands are among some of the most challenging and complex ecosystems for water level predictions. Wetland water level prediction is vital, as wetlands have their own permissible water levels. Exceeding these water levels can cause flooding and other severe environmental damage. On the other hand, the biodiversity of the wetlands is threatened by the sudden fluctuation of water levels. Hence, early prediction of water levels benefits in mitigating most of such environmental damage. However, monitoring and predicting the water levels in wetlands worldwide have been limited owing to various constraints. This study presents the first-ever application of deep machine-learning techniques (deep neural networks) to predict the water level in an urban wetland in Sri Lanka located in its capital. Moreover, for the first time in water level prediction, it investigates two types of relationships: the traditional relationship between water levels and environmental factors, including temperature, humidity, wind speed, and evaporation, and the temporal relationship between daily water levels. Two types of low load artificial neural networks (ANNs) were developed and employed to analyze two relationships which are feed forward neural networks (FFNN) and long short-term memory (LSTM) neural networks, to conduct the comparison on an unbiased common ground. The LSTM has outperformed FFNN and confirmed that the temporal relationship is much more robust in predicting wetland water levels than the traditional relationship. Further, the study identified interesting relationships between prediction accuracy, data volume, ANN type, and degree of information extraction embedded in wetland data. The LSTM neural networks (NN) has achieved substantial performance, including R2 of 0.8786, mean squared error (MSE) of 0.0004, and mean absolute error (MAE) of 0.0155 compared to existing studies.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban","https://doi.org/10.3390/app13042194",NA,NA,NA
"rayyan-100677016","Artificial intelligence underpins urban water infrastructure of the future: A holistic perspective",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Abstract The potential of artificial intelligence (AI) in water management is widely recognised by research and practice communities alike, with an increasing number of applications showed tackling water supply, stormwater and wastewater management challenges. However, there is a critical knowledge gap in understanding the fundamental role of AI in the development of urban water infrastructure (UWI). This review aimed to provide an analysis of how AI could be aligned to support the future development of UWI systems. Four types of AI analytics – descriptive, diagnostic, predictive and prescriptive – are discussed and linked to the improvement in the performance of UWI systems from three categories: reliability, resilience and sustainability. It is envisioned that AI technology will play a pivotal role in UWI transitioning to the future through underpinning the five development pathways: decentralisation, circular economy, greening, decarbonisation and automation. The barriers in improving AI adoption in the real world are also highlighted from four dimensions: cyber-physical infrastructure, institutional governance, social-economic systems and technological development in wider society. Embedding AI in the development pathways and tackling the barriers can ensure that AI-empowered systems are deployed in an equitable and responsible way to improve the resilience and sustainability of future UWI systems.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban","https://doi.org/10.1017/wat.2023.15",NA,NA,NA
"rayyan-100677025","Feasibility study on sinkhole monitoring with fiber optic strain sensing nerves",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Anthropogenic activity-induced sinkholes pose a serious threat to building safety and human life nowadays. Real-time detection and early warning of sinkhole formation are a key and urgent problem in urban areas. This paper presents an experimental study to evaluate the feasibility of fiber optic strain sensing nerves in sinkhole monitoring. Combining the artificial neural network (ANN) and particle image velocimetry (PIV) techniques, a series of model tests have been performed to explore the relationship between strain measurements and sinkhole development and to establish a conversion model from strain data to ground settlements. It is demonstrated that the failure mechanism of the soil above the sinkhole developed from a triangle failure plane to a vertical failure plane with increasing collapse volume. Meanwhile, the soil-embedded fiber optic strain sensing nerves allowed deformation monitoring of the ground soil in real time. Furthermore, the characteristics of the measured strain profiles indicate the locations of sinkholes and the associated shear bands. Based on the strain data, the ANN model predicts the ground settlement well. Additionally, micro-anchored fiber optic cables have been proven to increase the soil-to-fiber strain transfer efficiency for large deformation monitoring of ground collapse.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban","https://doi.org/10.1016/j.jrmge.2022.12.026",NA,NA,NA
"rayyan-100677026","Dynamic assessment and prediction of land use alterations influence on ecosystem service value: A pathway to environmental sustainability",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"In the face of rapid urbanization, understanding and managing changes in Land Use and Land Cover (LULC) is crucial for the sustainability and resilience of urban ecosystems. Rapid urban growth resulting from changes in LULC, can lead to the fragmentation and degradation of Ecosystem Services (ES), including habitat provision, water regulation, and air purification. This study investigates LULC changes in Dhaka City, Bangladesh, from 2010 to 2021 and forecasts their future impacts on ES in 2030 and 2040. Landsat images were processed using the Google Earth Engine platform, and a cellular automata technique was integrated with an Artificial Neural Network (ANN) for LULC mapping and prediction. Results showed an increase in built-up areas from 31% to 42% between 2010 and 2021, with a projected decrease to 34% and 32% in 2030 and 2040, respectively. Water bodies, vegetation, and agricultural land declined from 2010 to 2021 but are expected to increase in 2030 and 2040. This trend indicates a growing awareness of the need for a sustainable environment and resilience in urban ecosystem development. The value of ES is predicted to drop from $172.66 to $160.23 over thirty years (2010–2040), primarily due to the degradation of water bodies ($7.64) and agricultural land ($6.89). However, the projected increase in water bodies, vegetation, and agricultural land by 2040 suggests a potential for recovery and enhancement of these ES values through sustainable practices. Future land use policies should promote sustainable agriculture and water resource management while fostering resilience against rapid urban growth. This approach will ensure the sustainable development of urban ecosystems. This study informs future land use strategies in Dhaka City, supporting sustainable natural resource management, urban ecosystem quality management decisions, and resilience planning. It underscores the importance of integrating sustainability and resilience into urban development policies for the benefit of both the environment and the city's inhabitants.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban","https://doi.org/10.1016/j.indic.2023.100319",NA,NA,NA
"rayyan-100677031","MCDM-based flood risk assessment of metro systems in smart city development: A review",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban | USER-NOTES: {""Maria""=>[""This study presents a review of the multi-criteria decision making (MCDM) methods for flood risk assessment of metro systems in smart city development. Suggestive perspectives of a smart city development were proposed and summarized. A new expert system was presented to determine fuzzy numbers, which can reduce the uncertainties of MCDM methods. The way of the MCDM combined with geographical information system (GIS) techniques provides a significant aspect to consider when developing a flood risk model or early warning system. A case study of flood risk assessment in the Shanghai is used to demonstrate the application of the MCDM techniques incorporating GIS to assess flood risk of metro system. The assessed flood risk of metro systems provides inceptive suggestions for designing flood prevention in metro systems. "", ""Based on the initial flood risk of metro systems, a large amount of data collected using 3S including remote sensing (RS), GIS, global position system (GPS) technologies, artificial intelligence (AI) technologies, and wireless sensor networks, can be adopted to increase the accuracy of flood risk management for metro systems in smart city development. The processing and analysis of big data obtained from wireless sensor networks and AI technologies provides a way of establishing an intelligent technology system for flood management in smart city development.""]}","https://doi.org/10.1016/j.eiar.2023.107154",NA,NA,NA
"rayyan-100677055","The role of deep learning in urban water management: A critical review",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"Deep learning techniques and algorithms are emerging as a disruptive technology with the potential to transform global economies, environments and societies. They have been applied to planning and management problems of urban water systems in general, however, there is lack of a systematic review of the current state of deep learning applications and an examination of potential directions where deep learning can contribute to solving urban water challenges. Here we provide such a review, covering water demand forecasting, leakage and contamination detection, sewer defect assessment, wastewater system state prediction, asset monitoring and urban flooding. We find that the application of deep learning techniques is still at an early stage as most studies used benchmark networks, synthetic data, laboratory or pilot systems to test the performance of deep learning methods with no practical adoption reported. Leakage detection is perhaps at the forefront of receiving practical implementation into day-to-day operation and management of urban water systems, compared with other problems reviewed. Five research challenges, i.e., data privacy, algorithmic development, explainability and trustworthiness, multi-agent systems and digital twins, are identified as key areas to advance the application and implementation of deep learning in urban water management. Future research and application of deep learning systems are expected to drive urban water systems towards high intelligence and autonomy. We hope this review will inspire research and development that can harness the power of deep learning to help achieve sustainable water management and digitalise the water sector across the world.","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban","https://doi.org/10.1016/j.watres.2022.118973",NA,NA,NA
"rayyan-100677067","Future ecosystem service value modeling with land cover dynamics by using machine learning based Artificial Neural Network model for Jashore city, Bangladesh",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban | USER-NOTES: {""Maria""=>[""Land Use/Land Cover (LULC) provides provisional, supporting, cultural, and regulating ecosystem services that contribute to ecological environments, enhance human health and living, have economic advantages for sustaining living organisms. LULC transformation due to enormous urban expansion diminishing Ecosystem Services Values (ESVs) and discouraging sustainability. Though unplanned LULC transformation practice became more prevalent in developing countries, comprehensive assessment of LULC changes and their influences in ESVs are rarely attempted. This study aimed to illustrate and forecast the LULC changes and their influences on ESVs change in Jashore using remote sensing technologies. ESVs estimation and change analysis were conducted by utilizing -derived LULC data of the year 2000, 2010, and 2020 with the corresponding global value coefficients of each LULC type which are previously published. "", ""For simulating future LULC and ESVs, Land Change Modeler of TerrSet Geospatial Monitoring and Modeling Software was used in Multi-Layer Perceptron-Markov Chain and Artificial Neural Network method. The decline of agricultural land by 13.13% and waterbody by 5.79% has resulted in the reduction of total ESVs US$0.23 million (24.47%) during 2000–2020. The forecasted result shows that the built-up area will be dominant LULC in the future, and ESVs of provisioning and cultural services will be diminished by $0.107 million, $63400.3 by 2050 with the declination of agricultural, waterbody, vegetation, and vacant land covers. The study signifies the importance of a strategic rational land-use plan to strictly monitor and control the encroachment of built-up areas into vegetation, waterbodies, and agricultural land in addition to scientific mitigative policies for ensuring ecological sustainability.""]}","https://doi.org/10.1016/j.pce.2021.103021",NA,NA,NA
"rayyan-100677071","Monitoring land use changes and its future prospects using cellular automata simulation and artificial neural network for Ahmedabad city, India",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"","RAYYAN-INCLUSION: {""Erik""=>""Included""} | RAYYAN-LABELS: urban | USER-NOTES: {""Maria""=>[""The urban sprawl is one of the potential threat for sustainable development. The present study has been carried out on Ahmedabad Municipal Corporation (AMC) area including Ahmedabad city to monitor the urban sprawl from 1976 to 2017. Normalized Difference Vegetation Index, Normalized Difference Built-Up Index, and Built-Up Index are applied to monitor the urban land use change by using multi-temporal and multi-date remote sensing satellite data from Landsat. The future scenario of urban land use prediction of AMC has been modelled by the use of cellular automata (CA) and artificial neural network (ANN) with GIS techniques. "", ""The results of land use monitoring indicate that the built-up area has increased by 156.93 km2 whereas, agricultural land, open spaces, urban vegetation, and water bodies have decreased during the last 4-decades from 1976 to 2017. Moreover, the results of CA simulation reveals that the built-up will continue to increase in the future at the cost of other classes. The decadal built-up growth was 2.58 km2 during the earlier period and it was the highest (5.98 km2) during the decade of 2007–2017. The validation of results related to CA–ANN has been measured by the Kappa coefficient in which the obtained values of Kappa local, Kappa histogram and Kappa overall were 0.92, 0.75, and 0.69 respectively and the measured percentage of correctness was 78.63%."", ""The predicted urban land use growth reveals that the built-up would cover the maximum part of the AMC area by 2027 provided that the present land use trend, demographic growth, and commercial development does not show any major change. Therefore, the study pertaining to LULC change and its future prediction will be highly helpful for urban planners and administrators to prepare a sustainable city planning for the Ahmedabad city and its surroundings.""]}","https://doi.org/10.1007/s10708-020-10274-5",NA,NA,NA
