openalexid,value,key
W3092843175,[],Other
W3192495768,[],Other
W3089204850,['statistical methods'],Classic Machine Learning
W3106471330,['Machine Learning techniques'],Classic Machine Learning
W4283323042,N/A,N/A
W3094015332,['machine learning'],Classic Machine Learning
W3115457867,['BP neural network'],Classic AI & Neural Network Architectures
W3181252020,"['OLS', 'Geographically Weighted Regression (GWR)', 'Multiscale GWR (MGWR)']",Classic Machine Learning
W3129145601,N/A,N/A
W4285004952,['Artificial Intelligence'],Classic AI & Neural Network Architectures
W3007338089,['ANN'],Classic AI & Neural Network Architectures
W3112597358,"['sentiment analysis', 'content analysis', 'location-based Twitter messages']",Other
W3099985666,['Convolutional Neural Networks (CNNs)'],Classic AI & Neural Network Architectures
W3001677969,['Artificial Neural Network'],Classic AI & Neural Network Architectures
W4220681163,"['ML-CNN-CA', 'CNN']",Classic AI & Neural Network Architectures
W3166630397,['Back-Propagation Artificial Neural Network'],Classic AI & Neural Network Architectures
W3157822456,"['NLP', 'machine learning']",Classic AI & Neural Network Architectures
W4223426198,"['machine learning', 'spatially explicit maps']",Classic Machine Learning
W4285126701,['CNNs'],Classic AI & Neural Network Architectures
W4285038156,"['Machine Learning', 'Artificial Intelligence', 'Urban Planning', 'Spatial Data Analysis', 'ML Approaches']",Other
W3012084675,['artificial intelligence'],Other
W3216999574,['deep learning'],Classic AI & Neural Network Architectures
W3204751889,"['Support Vector Machines (SVMs)', 'Random Forests', 'Boosted Regression Tree']",Classic Machine Learning
W3194636661,['maximum-likelihood supervised classification'],Classic Machine Learning
W4221107894,['Artificial Intelligence (AI)'],Other
W3131231361,['MLP'],Classic AI & Neural Network Architectures
W3177916557,['machine learning techniques'],Classic Machine Learning
W4285011117,[],Classic AI & Neural Network Architectures
W4211065293,['Machine Learning'],Classic Machine Learning
W3016231128,['Blockchain'],Other
W3012362938,['AI'],Other
W3014418468,N/A,N/A
W3033154016,['machine learning'],Classic Machine Learning
W4225295290,['Artificial neural networks'],Classic AI & Neural Network Architectures
W3196830534,['artificial intelligence'],New Generation of AI
W4213244432,"['ML', 'Gradient Descent']",Classic Machine Learning
W3158152334,['machine learning'],Classic Machine Learning
W3119672720,"['Autoregressive model', 'AR', 'ARMA', 'Infinite Impulse Response Filters', 'MLP', 'Radial Basis Function Networks', 'Extreme Learning Machines', 'Echo State Networks', 'Adaptive Network Fuzzy Inference System']",Classic Machine Learning
W3177478558,['deep learning'],Classic AI & Neural Network Architectures
W2999364479,N/A,N/A
W4200602065,['Artificial Neural Network (ANN)'],Classic AI & Neural Network Architectures
W3203062970,"['AI', 'IoT']",Other
W3013638355,"['Multilayer Perceptron', 'Extreme Learning Machines', 'Echo State Neural Networks']",Classic AI & Neural Network Architectures
W4226449712,['XGBoost'],Classic Machine Learning
W4293661115,['Back Propagation neural network'],Classic AI & Neural Network Architectures
W3090915317,"['machine learning', 'feature engineering']",Classic Machine Learning
W4284967513,N/A,N/A
W4284892692,"['Ordinary Least Squares (OLS)', 'Random Forest (RF)']",Classic Machine Learning
W4283659482,['AI'],Classic Machine Learning
W4311041347,['artificial intelligence'],Other
W3022517038,['ANN'],Classic AI & Neural Network Architectures
W3155936534,['SOFM'],Classic AI & Neural Network Architectures
W4283768796,['ResNet50'],Classic AI & Neural Network Architectures
W3114921721,"['Long Short-Term Memory', 'Recurrent Neural Networks']",Classic AI & Neural Network Architectures
W3166145371,"['Cellular Automata', 'Artificial Neural Networks']",Classic AI & Neural Network Architectures
W4225426084,['probabilistic machine learning'],Classic Machine Learning
W3111868370,['machine learning'],Classic Machine Learning
W3033545933,['deep learning'],Classic Deep Learning
W3184361064,['1D-CNN'],Classic AI & Neural Network Architectures
W3090091488,['multiple linear regression models'],Classic Machine Learning
W3160658567,"['resilience system', 'smart city', 'disaster management']",Other
W4283777872,N/A,N/A
W3193312915,N/A,N/A
W3135423358,"['Kernel density estimation', 'Geographically Weighted Regression']",Classic Machine Learning
W4310364078,['machine learning'],Classic Machine Learning
W4200059535,"['InceptionV3', 'Resnet50V2', 'VGG19']",Classic Deep Learning
W4205975943,N/A,N/A
W4200309310,[],Other
W4313471424,"['historical disaster statistics method', 'multi-criteria index system method', 'remote sensing and GIS (Geographic Information System) coupling method', 'machine learning method']",Classic Machine Learning
W4281390107,['machine learning'],Classic Machine Learning
W4310193683,['machine learning models'],Classic Machine Learning
W4223434447,"['Random Forests', 'Support Vector Machines (SVMs)']",Classic Machine Learning
W4285090001,"['digital finance', 'technological economy', 'blockchain', 'VR', 'sharing economy', 'tourism economy', 'digital marketing', 'smart city', 'digital healthcare', 'personalized education']",Other
W3110027273,['Deep'],Classic AI & Neural Network Architectures
W3112984556,"['Support Vector Machines (SVM)', 'Random Forests']",Classic Machine Learning
W4283748958,[],Other
W4205179525,"['AI', 'flow through technology', 'sensor support systems']",Other
W3085610647,['end-to-end deep learning framework'],Classic Deep Learning
W3120887079,['Recurrent Neural Networks'],Classic AI & Neural Network Architectures
W3012538234,['Transformers'],New Generation of AI
W4387767134,"['AI', 'AIoT']",New Generation of AI
W4376619155,"['supervised machine learning', 'unsupervised methods', 'algorithm selection']",Classic Machine Learning
W4362611851,"['Random Forests', 'k-Nearest Neighbors (kNN)', 'Reinforcement Learning', 'Monte Carlo Methods']",Classic Machine Learning
W4383682762,[],Other
W4389206382,[],Other
W4366515524,"['NSGA-II', 'MOPSO', 'MOEA/D']",Other
W4315652177,['artificial neural network-based prediction'],Classic AI & Neural Network Architectures
W4400957436,"['CNNs', 'RNNs', 'LSTMs']",Classic AI & Neural Network Architectures
W4385765561,['machine learning'],Classic Machine Learning
W4397008103,['Transformers'],New Generation of AI
W4321437862,['Causal Forest'],Classic Machine Learning
W4322769928,N/A,N/A
W4399335514,['deep neural networks'],Classic AI & Neural Network Architectures
W4390044123,[],Other
W4361292570,[],Other
W4385348479,['Artificial Neural Networks (ANNs)'],Classic AI & Neural Network Architectures
W4318206819,"['Convolutional neural networks (CNNs)', '1-dimensional convolutional neural network (1-DCNN)']",Classic AI & Neural Network Architectures
W4389340439,['Artificial Neural Network (ANN)'],Classic AI & Neural Network Architectures
W4385651967,['multi-criteria decision-making'],Classic AI & Neural Network Architectures
W4321786597,['GPT-3'],New Generation of AI
W4317436598,['ANN-MLP'],Classic AI & Neural Network Architectures
W4388419229,[],Other
W4385311368,"['Machine learning', 'Linear regression', 'Logistic regression', 'Support Vector Machines (SVMs)', 'Decision Trees', 'Random Forests', 'Naive Bayes', 'k-Nearest Neighbors (kNN)']",Classic Machine Learning
W4387533110,N/A,N/A
W4383345515,['machine learning model'],Classic Machine Learning
W4389964405,[],Other
W4387409328,"['artificial intelligence', 'machine learning']",Classic Machine Learning
W4322730580,['Semi-Supervised Deep Learning'],Classic AI & Neural Network Architectures
W4319834464,N/A,N/A
W4394599917,['Predictive Modeling'],Classic Machine Learning
W4385219128,['machine learning'],Classic Machine Learning
W4387673749,"['Integrating AI with UAVs', 'Developing predictive models']",Other
W4317651094,['Artificial Intelligence'],Other
W4399442277,"['AI', 'Cybersecurity', 'Smart Cities']",Other
W4364382852,N/A,N/A
W4367043536,['geospatial applications'],Classic Machine Learning
W4386837245,"['Cellular Automaton–Markov Chain', 'artificial neural network']",Classic AI & Neural Network Architectures
W4392811432,['Artificial Neural Network'],Classic AI & Neural Network Architectures
W4385490366,"['Ann–Ca', 'Cellular Automata']",Classic AI & Neural Network Architectures
W4313584312,['machine learning'],Classic Machine Learning
W4391597216,['CNNs'],Classic AI & Neural Network Architectures
W4391757240,['Artificial Neural Network (ANN)'],Classic AI & Neural Network Architectures
W4376274933,['Transformers'],Classic AI & Neural Network Architectures
W4322503803,['ANN-MLP'],Classic AI & Neural Network Architectures
W4317609245,"['ANN-MLP', 'Random Forest', 'SMOReg']",Classic Machine Learning
W4318066364,"['big data', 'artificial-intelligence technologies']",Other
W4313441565,"['CA-ANN', 'cellular automata']",New Generation of AI
W4390415081,"['Autonomous Vehicles', 'Electric Vehicles', 'Unmanned Aerial Vehicles']",Other
W4388824319,['machine learning'],Classic Machine Learning
W4385671811,[],New Generation of AI
W4387910234,"['machine learning classifiers', 'deep learning models', 'semantic segmentation', 'Convolutional Neural Networks (CNNs)']",Classic AI & Neural Network Architectures
W4317930808,['machine learning capabilities'],Other
W4385491741,"['Principal Component Analysis (PCA)', 'Analytic Hierarchy Process (AHP)']",Classic Machine Learning
W4366765216,"['cyber-physical systems', 'water-related sectors', 'river basins', 'monitoring', 'management', 'governance', 'smart technologies', 'social dimensions', 'ecosystems', 'research and design', 'sustainable transformations', 'cybernetic approach', 'social data requirements', 'end-user experience', 'sociopolitical impacts', 'environmental impacts', 'acceptability']",Other
W4367173645,['Transformers'],Other
W4393865864,['neural network model'],Classic AI & Neural Network Architectures
W4323848813,"['Q-learning', 'logistic regression', 'Support Vector Machines (SVMs)', 'Decision Trees', 'Random Forests', 'Naive Bayes', 'k-Nearest Neighbors (kNN)']",Classic Machine Learning
W4391268320,"['IoT devices', 'AI-driven solutions']",Other
